component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.46934744150535046,0.46934744150535046
PC2,0.2543482375428573,0.7236956790482078
PC3,0.10462670653651437,0.8283223855847222
PC4,0.09182825041301099,0.9201506359977332
