component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.5197940802539152,0.5197940802539152
PC2,0.2520664109974067,0.7718604912513218
PC3,0.12163830950756538,0.8934988007588872
PC4,0.0885932184731944,0.9820920192320817
