component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.2107387631957453,0.2107387631957453
PC2,0.1633737435314936,0.3741125067272389
PC3,0.09539864630403677,0.46951115303127566
PC4,0.07807068855968424,0.5475818415909599
PC5,0.0666975123559288,0.6142793539468887
PC6,0.05163274857917907,0.6659121025260678
