Metric,Balanced RF,Cox PH,Elastic LR,Logistic Reg.,MLP,Random Forest,SVM
PR-AUC,0.3025652259517651,0.3080036790167407,0.3016197401813849,0.2966409174461515,0.21805754577301117,0.628741418038516,0.34330816237319245
AUC,0.8379367628499399,0.842005385935768,0.8417290266318249,0.8391404611515586,0.7711683550173032,0.938982936348311,0.8901778832719714
Sensitivity,0.6627218934911243,0.9053254437869822,0.6390532544378699,0.6153846153846154,0.621301775147929,0.8284023668639053,0.7692307692307693
Specificity,0.8178515827711469,0.6263622210690192,0.8173326414115205,0.8386092371562014,0.7545407368967306,0.8640373637778931,0.8526206538661131
F1,0.35443037974683544,0.29366602687140114,0.34340222575516693,0.3561643835616438,0.28112449799196787,0.4903677758318739,0.44596912521440824
