Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
Rolling Landmark,Train_Fit,Train Fit,Random Forest,prauc,PR-AUC,0.628741418038516,0.5399999999999999,2096,169
Rolling Landmark,Train_Fit,Train Fit,Random Forest,auc,AUC,0.938982936348311,0.5399999999999999,2096,169
Rolling Landmark,Train_Fit,Train Fit,Random Forest,recall,Sensitivity,0.8284023668639053,0.5399999999999999,2096,169
Rolling Landmark,Train_Fit,Train Fit,Random Forest,specificity,Specificity,0.8640373637778931,0.5399999999999999,2096,169
Rolling Landmark,Train_Fit,Train Fit,Random Forest,f1,F1,0.4903677758318739,0.5399999999999999,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Random Forest,prauc,PR-AUC,0.22945454688502603,0.5399999999999999,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Random Forest,auc,AUC,0.811209747499716,0.5399999999999999,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Random Forest,recall,Sensitivity,0.5502958579881657,0.5399999999999999,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Random Forest,specificity,Specificity,0.8458744161909704,0.5399999999999999,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Random Forest,f1,F1,0.33273703041144903,0.5399999999999999,2096,169
Rolling Landmark,Test_Temporal,Temporal Test,Random Forest,prauc,PR-AUC,0.25551619524563673,0.5399999999999999,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Random Forest,auc,AUC,0.8342700974578456,0.5399999999999999,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Random Forest,recall,Sensitivity,0.6341463414634146,0.5399999999999999,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Random Forest,specificity,Specificity,0.8625792811839323,0.5399999999999999,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Random Forest,f1,F1,0.3939393939393939,0.5399999999999999,514,41
Rolling Landmark,Train_Fit,Train Fit,Balanced RF,prauc,PR-AUC,0.3025652259517651,0.58,2096,169
Rolling Landmark,Train_Fit,Train Fit,Balanced RF,auc,AUC,0.8379367628499399,0.58,2096,169
Rolling Landmark,Train_Fit,Train Fit,Balanced RF,recall,Sensitivity,0.6627218934911243,0.58,2096,169
Rolling Landmark,Train_Fit,Train Fit,Balanced RF,specificity,Specificity,0.8178515827711469,0.58,2096,169
Rolling Landmark,Train_Fit,Train Fit,Balanced RF,f1,F1,0.35443037974683544,0.58,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Balanced RF,prauc,PR-AUC,0.23160179374727177,0.58,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Balanced RF,auc,AUC,0.8107245833883494,0.58,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Balanced RF,recall,Sensitivity,0.591715976331361,0.58,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Balanced RF,specificity,Specificity,0.8183705241307733,0.58,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Balanced RF,f1,F1,0.32310177705977383,0.58,2096,169
Rolling Landmark,Test_Temporal,Temporal Test,Balanced RF,prauc,PR-AUC,0.2495090472939655,0.58,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Balanced RF,auc,AUC,0.8266900427989481,0.58,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Balanced RF,recall,Sensitivity,0.6341463414634146,0.58,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Balanced RF,specificity,Specificity,0.8202959830866807,0.58,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Balanced RF,f1,F1,0.34210526315789475,0.58,514,41
