g3_n_Logit,g3_n_Prob,g4_nh_Logit,g4_nh_Prob,committee_g34_MeanLogit,committee_g34_StdLogit,committee_g34_MeanProb,committee_g34_MaxProb,committee_g34_MinProb,committee_g34_SpreadProb,g3_n_x_g4_nh,g3_n_minus_g4_nh,Window_12M->18M,Window_12M->18M_x_g3_n_Logit,Window_12M->18M_x_g4_nh_Logit,Window_18M->24M,Window_18M->24M_x_g3_n_Logit,Window_18M->24M_x_g4_nh_Logit,Window_1M->3M,Window_1M->3M_x_g3_n_Logit,Window_1M->3M_x_g4_nh_Logit,Window_3M->6M,Window_3M->6M_x_g3_n_Logit,Window_3M->6M_x_g4_nh_Logit,Window_6M->12M,Window_6M->12M_x_g3_n_Logit,Window_6M->12M_x_g4_nh_Logit
-1.1075616905606036,0.24832574421662404,-1.5935144351183133,0.16889001490476396,-1.3505380628394583,0.3436204810129706,0.208607879560694,0.24832574421662404,0.16889001490476396,0.07943572931186008,1.7649155416923643,0.48595274455770965,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.1075616905606036,-1.5935144351183133,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.5778932479145158,0.17109405645810674,-1.7263460808534585,0.15105555300610243,-1.6521196643839873,0.10497200485748008,0.1610748047321046,0.17109405645810674,0.15105555300610243,0.020038503452004308,2.723989824542359,0.14845283293894274,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.5778932479145158,-1.7263460808534585,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.9800806690680819,0.12131023878518475,-1.4250170913876543,0.19387626662664884,-1.702548880227868,0.39248921976749634,0.1575932527059168,0.19387626662664884,0.12131023878518475,0.07256602784146408,2.8216487957483185,-0.5550635776804276,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.9800806690680819,-1.4250170913876543,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.447439715233673,0.19039590909518733,-1.54546915044243,0.17574162725552087,-1.4964544328380516,0.06931727839199935,0.1830687681753541,0.19039590909518733,0.17574162725552087,0.014654281839666466,2.2369734270188175,0.09802943520875695,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.447439715233673,-1.54546915044243,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.295681886141409,0.21489264540668965,-1.8794258221891402,0.1324548387097868,-1.5875538541652747,0.41276929565587706,0.1736737420582382,0.21489264540668965,0.1324548387097868,0.08243780669690284,2.435137994156894,0.5837439360477312,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.295681886141409,-1.8794258221891402,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.1153993363873511,0.24686565625294657,-1.988940764545808,0.12036896952414824,-1.5521700504665796,0.6176870674982262,0.1836173128885474,0.24686565625294657,0.12036896952414824,0.12649668672879832,2.218463208888145,0.8735414281584568,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.1153993363873511,-1.988940764545808,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.540007222818502,0.17653422479631609,-1.647052749507368,0.1615076768567597,-1.593529986162935,0.07569261781738264,0.1690209508265379,0.17653422479631609,0.1615076768567597,0.015026547939556378,2.5364731306044197,0.10704552668886591,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.540007222818502,-1.647052749507368,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.4947321704721608,0.18321251665315189,-1.9699873482024572,0.12239024575718203,-1.732359759337309,0.3360561589671105,0.15280138120516695,0.18321251665315189,0.12239024575718203,0.06082227089596985,2.9446034647813555,0.47525517773029646,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.4947321704721608,-1.9699873482024572,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-0.8314938424731335,0.3033292977226929,-1.6942285640571617,0.155220551906241,-1.2628612032651476,0.6100455719971544,0.22927492481446696,0.3033292977226929,0.155220551906241,0.1481087458164519,1.4087406187556288,0.8627347215840282,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.8314938424731335,-1.6942285640571617,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.8817723377564148,0.13218543177875736,-1.9529279855428143,0.12423444198651665,-1.9173501616496145,0.050314641069484634,0.128209936882637,0.13218543177875736,0.12423444198651665,0.007950989792240709,3.6749658608248277,0.07115564778639949,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.8817723377564148,-1.9529279855428143,0.0,-0.0,-0.0,0.0,-0.0,-0.0
