Candidate,PR_AUC,AUC,Brier
phase,0.27843265428085884,0.8363842623627082,0.06679174887059104
raw,0.27460954123844866,0.8362295673696695,0.06888918970400087
global,0.27460954123844866,0.8362295673696695,0.0682144381135558
interval,0.2675684608520954,0.8384984272675707,0.0658361939333226
