g2_nh_Logit,g2_nh_Prob,g3_n_Logit,g3_n_Prob,committee_g23_MeanLogit,committee_g23_StdLogit,committee_g23_MeanProb,committee_g23_MaxProb,committee_g23_MinProb,committee_g23_SpreadProb,g2_nh_x_g3_n,g2_nh_minus_g3_n,Window_12M->18M,Window_12M->18M_x_g2_nh_Logit,Window_12M->18M_x_g3_n_Logit,Window_18M->24M,Window_18M->24M_x_g2_nh_Logit,Window_18M->24M_x_g3_n_Logit,Window_1M->3M,Window_1M->3M_x_g2_nh_Logit,Window_1M->3M_x_g3_n_Logit,Window_3M->6M,Window_3M->6M_x_g2_nh_Logit,Window_3M->6M_x_g3_n_Logit,Window_6M->12M,Window_6M->12M_x_g2_nh_Logit,Window_6M->12M_x_g3_n_Logit
-1.3978602605007364,0.1981558753444663,-1.1075616905606036,0.24832574421662404,-1.25271097553067,0.20527208737342514,0.22324080978054517,0.24832574421662404,0.1981558753444663,0.05016986887215774,1.5482164732876813,-0.2902985699401328,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.3978602605007364,-1.1075616905606036,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.7929286954075383,0.14271403208116606,-1.5778932479145158,0.17109405645810674,-1.685410971661027,0.1520530231178,0.1569040442696364,0.17109405645810674,0.14271403208116606,0.028380024376940677,2.829050082475736,-0.2150354474930225,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.7929286954075383,-1.5778932479145158,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.4318108143708623,0.1928166951707213,-1.9800806690680819,0.12131023878518475,-1.705945741719472,0.38768533217656703,0.15706346697795304,0.1928166951707213,0.12131023878518475,0.07150645638553656,2.8351009152983724,0.5482698546972196,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.4318108143708623,-1.9800806690680819,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.9460722745512617,0.12498226860193636,-1.447439715233673,0.19039590909518733,-1.6967559948924675,0.35258646401387034,0.15768908884856184,0.19039590909518733,0.12498226860193636,0.06541364049325098,2.816822298900625,-0.49863255931758865,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.9460722745512617,-1.447439715233673,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-0.887454582079785,0.2916353915031356,-1.295681886141409,0.21489264540668965,-1.091568234110597,0.28866029496747697,0.25326401845491264,0.2916353915031356,0.21489264540668965,0.07674274609644596,1.1498588267739718,0.408227304061624,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.887454582079785,-1.295681886141409,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.8413338475066734,0.13689361714097673,-1.1153993363873511,0.24686565625294657,-1.4783665919470121,0.513313215509814,0.19187963669696165,0.24686565625294657,0.13689361714097673,0.10997203911196984,2.0538225515765114,-0.7259345111193223,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.8413338475066734,-1.1153993363873511,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.4980018765075047,0.18272372596192493,-1.540007222818502,0.17653422479631609,-1.5190045496630034,0.029702265222595507,0.1796289753791205,0.18272372596192493,0.17653422479631609,0.006189501165608846,2.306933709617227,0.04200534631099728,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.4980018765075047,-1.540007222818502,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-2.2302850410511468,0.09706365646292235,-1.4947321704721608,0.18321251665315189,-1.8625086057616538,0.520114422707632,0.1401380865580371,0.18321251665315189,0.09706365646292235,0.08614886019022953,3.333678800181973,-0.735552870578986,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-2.2302850410511468,-1.4947321704721608,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.7974153117365193,0.1421659886482935,-0.8314938424731335,0.3033292977226929,-1.3144545771048264,0.6830096210098133,0.2227476431854932,0.3033292977226929,0.1421659886482935,0.1611633090743994,1.4945397640758435,-0.9659214692633857,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.7974153117365193,-0.8314938424731335,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.7333295656632697,0.1501621870947948,-1.8817723377564148,0.13218543177875736,-1.8075509517098423,0.10496489076519214,0.1411738094367761,0.1501621870947948,0.13218543177875736,0.017976755316037457,3.261731628880482,0.14844277209314516,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.7333295656632697,-1.8817723377564148,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.3457567028972741,0.2065649648120064,-2.027960001793439,0.11629841494235815,-1.6868583523453564,0.4823905787973113,0.16143168987718226,0.2065649648120064,0.11629841494235815,0.09026654986964824,2.7291407656210884,0.6822032988961648,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.3457567028972741,-2.027960001793439,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-0.14646883471879296,0.4634481139660246,-3.789302547692213,0.022111397779258475,-1.967885691205503,2.5758724211784747,0.24277975587264153,0.4634481139660246,0.022111397779258475,0.4413367161867661,0.5550147285574318,3.6428337129734203,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.14646883471879296,-3.789302547692213,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.511494426733216,0.18071742478319983,-0.3062852650969461,0.4240217215189987,-0.908889845915081,0.8522115709411603,0.30236957315109925,0.4240217215189987,0.18071742478319983,0.24330429673579887,0.46294847118453963,-1.20520916163627,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.511494426733216,-0.3062852650969461,0.0,-0.0,-0.0,0.0,-0.0,-0.0
