feature,coefficient,abs_coefficient,selected
Champion_Logit,,,True
Champion_Prob,,,True
Direct_Logit,,,True
Direct_Prob,,,True
committee_g234_Logit,,,True
committee_g234_Prob,,,True
fusion_committee_g234_MeanLogit,,,True
fusion_committee_g234_StdLogit,,,True
fusion_committee_g234_MeanProb,,,True
fusion_committee_g234_MaxProb,,,True
Champion_x_Direct,,,True
Champion_minus_Direct,,,True
Champion_x_committee_g234,,,True
Champion_minus_committee_g234,,,True
Direct_x_committee_g234,,,True
Direct_minus_committee_g234,,,True
Window_12M->18M,,,True
Window_12M->18M_x_Champion_Logit,,,True
Window_12M->18M_x_Direct_Logit,,,True
Window_12M->18M_x_committee_g234_Logit,,,True
Window_18M->24M,,,True
Window_18M->24M_x_Champion_Logit,,,True
Window_18M->24M_x_Direct_Logit,,,True
Window_18M->24M_x_committee_g234_Logit,,,True
Window_1M->3M,,,True
Window_1M->3M_x_Champion_Logit,,,True
Window_1M->3M_x_Direct_Logit,,,True
Window_1M->3M_x_committee_g234_Logit,,,True
Window_3M->6M,,,True
Window_3M->6M_x_Champion_Logit,,,True
Window_3M->6M_x_Direct_Logit,,,True
Window_3M->6M_x_committee_g234_Logit,,,True
Window_6M->12M,,,True
Window_6M->12M_x_Champion_Logit,,,True
Window_6M->12M_x_Direct_Logit,,,True
Window_6M->12M_x_committee_g234_Logit,,,True
fusion_committee_g234_Champion_x_LatentMean,,,True
fusion_committee_g234_Direct_x_LatentMean,,,True
