Metric,Elastic LR,Logistic Reg.
PR-AUC,0.2299689267488266,0.2229445047710397
AUC,0.8130460015414709,0.797855451801402
Sensitivity,0.591715976331361,0.650887573964497
Specificity,0.8240788790866632,0.7825635703165542
F1,0.32894736842105265,0.3151862464183381
