Scenario,Intervals,Events,AUC,PR_AUC,Brier,Recall,Specificity
All_Windows,514,41,0.8409219821585108,0.3310568659831481,0.06772211930097698,0.6097560975609756,0.8181818181818182
Exclude_1M_3M,446,24,0.8620655608214849,0.3868418141294701,0.046058169807232256,0.5416666666666666,0.8815165876777251
Exclude_12Mplus,249,35,0.7416555407209613,0.35251464248523456,0.11513008300688508,0.6857142857142857,0.6355140186915887
Only_3Mplus,446,24,0.8620655608214849,0.3868418141294701,0.046058169807232256,0.5416666666666666,0.8815165876777251
