Metric,Elastic LR,Logistic Reg.
PR-AUC,0.23759077037172577,0.23795131819654633
AUC,0.8096959126458948,0.801085784998603
Sensitivity,0.7337278106508875,0.47337278106508873
Specificity,0.7488323819408407,0.8749351323300467
F1,0.31917631917631917,0.32653061224489793
