Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
BranchC anchor_plus_next_state,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.6097560975609756,0.09,514,41
BranchC anchor_plus_next_state,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8181818181818182,0.09,514,41
BranchC anchor_plus_next_state,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.32894736842105265,0.09,514,41
BranchC anchor_plus_next_state_delta,Train_Fit,Train Fit,Logistic Reg.,prauc,PR-AUC,0.2229445047710397,0.09,2096,169
BranchC anchor_plus_next_state_delta,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.797855451801402,0.09,2096,169
BranchC anchor_plus_next_state_delta,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.650887573964497,0.09,2096,169
BranchC anchor_plus_next_state_delta,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.7825635703165542,0.09,2096,169
BranchC anchor_plus_next_state_delta,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.3151862464183381,0.09,2096,169
BranchC anchor_plus_next_state_delta,Validation_OOF,Validation OOF,Logistic Reg.,prauc,PR-AUC,0.21489213426083417,0.09,2096,169
BranchC anchor_plus_next_state_delta,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.7856035226599276,0.09,2096,169
BranchC anchor_plus_next_state_delta,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.5798816568047337,0.09,2096,169
BranchC anchor_plus_next_state_delta,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.8069538142189933,0.09,2096,169
BranchC anchor_plus_next_state_delta,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.30672926447574334,0.09,2096,169
BranchC anchor_plus_next_state_delta,Test_Temporal,Temporal Test,Logistic Reg.,prauc,PR-AUC,0.3270463427146934,0.09,514,41
BranchC anchor_plus_next_state_delta,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8386531222606095,0.09,514,41
BranchC anchor_plus_next_state_delta,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.7560975609756098,0.09,514,41
BranchC anchor_plus_next_state_delta,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.7695560253699789,0.09,514,41
BranchC anchor_plus_next_state_delta,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.3425414364640884,0.09,514,41
BranchC anchor_plus_next_state_delta,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.2299689267488266,0.09,2096,169
BranchC anchor_plus_next_state_delta,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8130460015414709,0.09,2096,169
BranchC anchor_plus_next_state_delta,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.591715976331361,0.09,2096,169
BranchC anchor_plus_next_state_delta,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8240788790866632,0.09,2096,169
BranchC anchor_plus_next_state_delta,Train_Fit,Train Fit,Elastic LR,f1,F1,0.32894736842105265,0.09,2096,169
