Metric,Elastic LR,Logistic Reg.
PR-AUC,0.2299689267488266,0.22110629215863167
AUC,0.8130460015414709,0.8072455268175998
Sensitivity,0.591715976331361,0.5739644970414202
Specificity,0.8240788790866632,0.8204462895692787
F1,0.32894736842105265,0.31699346405228757
