Metric,Elastic LR,Logistic Reg.
PR-AUC,0.23759077037172577,0.24067112924029235
AUC,0.8096959126458948,0.8023631791146062
Sensitivity,0.7337278106508875,0.5029585798816568
Specificity,0.7488323819408407,0.8676699532952776
F1,0.31917631917631917,0.33398821218074654
