G4_ResidualPCA_PC1,G4_ResidualPCA_PC2,G4_ResidualPCA_PC3,G4_ResidualPCA_PC4,G4_ResidualPCA_ReconRMSE
3.151819143225634,-0.1802262222426635,0.5838184242768184,-1.2313245046623735,0.08577166285424598
-1.0022029228740317,0.3281162828524753,0.288856184466549,-1.1771855284108768,0.04789832873779567
-0.7234928919076681,0.4744114860283587,-0.11260963086591945,-0.7376605402981629,0.04043685293764893
-1.3338587205858394,2.110287331803339,0.11659297543473585,0.775556220043036,0.13026780569496674
5.103881820009062,-0.09327390512040219,0.9396965585035768,0.14797706404231237,0.4255645336724342
0.6715104079846389,-0.5605993627095271,-0.3818694461742732,-0.11899003880540313,0.043915831496290816
-2.4512070609958436,4.019850111811468,1.1814801014563197,-0.4020838264278916,0.3171494921325261
0.08984484995854858,0.1855976700283077,-1.2341837727202478,-0.6573126213235059,0.17897570378099126
0.22660206681655712,0.3719387504938236,-1.2098832271833249,-0.57152605974742,0.12029575365590973
-0.4440321070918188,-0.7730068744149021,-0.15784225189696105,-0.44320796185239675,0.13843626305483195
2.1095517732225533,1.125018294516086,-1.3273480845794257,1.1598518369041446,0.19449208009624433
11.438994585147563,6.650144482354518,0.02127308000635067,0.7810253056676948,0.36750363860256374
7.693550790332817,2.7230636252828897,2.579134459439676,1.7988025346118204,0.14047888018727014
1.8353544730875873,-0.5934856553174821,-0.6183028159838996,-0.7297739610008235,0.37227133413065244
-1.138571510914933,1.0170215935562252,0.11547778435187081,-0.9790303540806958,0.17189327065326634
4.08334606771522,2.481489295861975,-1.6318336304268668,0.7553298457134194,0.34704601103570715
0.7445885967152344,-0.6091036498647676,-1.0008494084113437,-1.6312392489619325,0.3874051870568415
-0.38482646139117227,0.4661412888840939,-0.49598178083479616,0.31955037280658166,0.2818744623746938
-0.23968085002527229,1.0813513720069512,-0.3175972407584059,-0.9587179162672854,0.19143403882024077
-1.9385878925581415,3.6302995183297764,0.8800421036561982,0.48521947012819816,0.034564765994554804
1.9502356672221242,-0.7496335399580584,0.08636279810397705,-0.7189997828604333,0.1385966121780383
-1.3976590781940208,3.0982454477483095,-0.25136304523231795,0.4961985133042575,0.14349019701795362
2.7839658347334204,-1.144238134572462,0.48995039611877356,-0.8521571349715107,0.3926189080818318
-1.8885117824474322,4.035679697114906,0.4158433878563195,0.8816443433900665,0.08887273462246403
-1.8225118369205437,2.874558254189971,0.5207229077461857,-0.12340806659880246,0.23198522912389744
3.9153109420434187,-0.1404934301387955,1.1506739356266116,0.7920013336035792,0.20323011734310775
-0.5407135841626999,2.073403907685102,-0.819839484375424,-0.26049296027851826,0.18433861655670625
0.5045469058580981,-0.7749143308006754,-0.6627396114055978,-0.5079686422005228,0.051554274076677
0.7806268708567068,-0.43662238554014204,-0.773865677504839,-0.25542818239305265,0.026198202878897195
1.7785577595950173,-1.0565692663246002,0.17636470125567366,-0.9552264445129791,0.210077719576006
0.8246067950126456,-0.895465848953742,-0.41176757932546076,-1.3365416055089898,0.046327331808358733
-0.1518746654454284,0.42936792878960417,-1.0226046627070549,-0.12527762897416694,0.13675344712928872
-1.2376412379691548,1.8974949259853855,0.29563637399577036,-1.495665951788752,0.20771191919105159
-0.9613743318307381,0.41415720450534194,0.3045085550444721,0.3106708839227123,0.24086404612723347
2.9849988529217315,-0.05026165746653342,1.6024912895199617,0.060406670211981595,0.1487974685220502
2.685128516219222,0.3750288173899782,-1.1827792261487478,1.026367662707145,0.2819094432862395
-1.9713517411755273,2.525129510433588,1.2306443745980216,-0.009274735195113177,0.043997250084535235
