G3_Archetype_Prob_0,G3_Archetype_SoftDist_0,G3_Archetype_Dist_0,G3_Archetype_Prob_1,G3_Archetype_SoftDist_1,G3_Archetype_Dist_1,G3_Archetype_Prob_2,G3_Archetype_SoftDist_2,G3_Archetype_Dist_2,G3_Archetype_Prob_3,G3_Archetype_SoftDist_3,G3_Archetype_Dist_3,G3_Archetype_Prob_4,G3_Archetype_SoftDist_4,G3_Archetype_Dist_4,G3_Archetype_Entropy,G3_Archetype_MaxProb,G3_Archetype_MinDist
1.688962815622671e-16,0.08115864500264844,3.3081192324314967,2.1492390385186898e-34,0.27349393928629256,2.093245590080149,0.5818164168520564,0.3076470941975147,1.975571723880805,0.01514957616223892,0.06259127302539692,3.5678991920181184,0.403034006985705,0.2751090484881473,2.087357492843632,0.744836228408207,0.5818164168520564,1.975571723880805
8.888703740098304e-09,0.08226825878550417,2.774494899727523,0.9561236140301254,0.3501480390400427,1.326124222306443,6.50951554140269e-17,0.1261561120677793,2.3469601313414135,0.0007019646988614749,0.05943094166935567,3.099665261779739,0.043174412382309256,0.38199664843731806,1.2390684212059118,0.18367285561751767,0.9561236140301254,1.2390684212059118
2.728728754916989e-13,0.26560323105758904,2.3624504132351567,5.219182559099708e-53,0.20944341276492034,2.600000399146977,0.2646753022513348,0.32367428671182863,2.1647162736648435,0.0006480622997885689,0.017190547094074776,5.100094350702887,0.7346766354486038,0.1840885223715872,2.7290372541267636,0.5830968491825698,0.7346766354486038,2.1647162736648435
2.151032145537424e-57,0.16448335723453802,3.862578997380145,0.9885172671508506,0.3682934071021971,3.056508468240087,2.5486136169565242e-101,0.14588720657968307,3.9825546251823756,0.011482732849148511,0.08867628400016503,4.480395910242006,5.949639267409556e-43,0.2326597450834168,3.5158113259142287,0.06270889657929958,0.9885172671508506,3.056508468240087
7.529693313954703e-27,0.0559191191876332,4.220910667075405,0.08465251722876346,0.25423515989857504,2.7065573485048082,2.8979102415595286e-29,0.10153458061968648,3.6244175773641154,0.022171165888441702,0.24764816429864345,2.7328079670587835,0.8931763168827948,0.3406629759954619,2.4139233652187504,0.3943764421270612,0.8931763168827948,2.4139233652187504
3.5622958841764096e-14,0.07974497131541317,3.61111987852489,0.997756149764724,0.3025042348601614,2.2778582856850242,2.422293995923427e-12,0.16113202161021525,2.9077295236343694,0.002231919553767882,0.1152549161119774,3.2428072255594196,1.1930679049681772e-05,0.34136385610223285,2.157004627487722,0.01600221255061364,0.997756149764724,2.157004627487722
5.544895114964052e-23,0.11283161259224538,4.067233554073681,0.9975933291606037,0.32366186540687564,3.01343076180247,1.2106133429926168e-66,0.13454798323466485,3.8912092192564445,0.0024066708382045852,0.19272725824962886,3.5318540876034876,1.1916890573215553e-12,0.23623128051658532,3.328318780025434,0.016914820504483456,0.9975933291606037,3.01343076180247
3.2871247565953535e-46,0.0360496609220271,4.492021354439853,0.7188485073368481,0.21864842719357383,2.6894537277850876,1.8256549683798109e-81,0.1002745753260591,3.469006635803319,0.2811514926631523,0.5219807203524651,1.8192881593476893,8.034481031939723e-71,0.12304661620587495,3.2643555352413602,0.5940375722783785,0.7188485073368481,1.8192881593476893
3.137792264335891e-12,0.21082158638924822,2.6117413937458647,1.0070927825662597e-08,0.26258250549754414,2.3921882680913575,0.002175565616102341,0.19403509045230607,2.69471458606946,0.001076078997341831,0.020211364239218935,4.956508575081482,0.9967483453124905,0.3123494534216826,2.2186310033488725,0.023938121922620122,0.9967483453124905,2.2186310033488725
1.0965332395528102e-08,0.2203400384493332,2.01208854873965,0.7358103692574458,0.270890679181546,1.8055451895127437,0.015948400799082104,0.22185852706981113,2.005220617870525,0.00027268432860506577,0.016021467145347558,4.633331011598151,0.2479685346495342,0.27088928815396196,1.8055503245404962,0.6397535028616084,0.7358103692574458,1.8055451895127437
