G5_ResidualPCA_PC1,G5_ResidualPCA_PC2,G5_ResidualPCA_PC3,G5_ResidualPCA_PC4,G5_ResidualPCA_ReconRMSE,G5_ResidualArchetype_Prob_0,G5_ResidualArchetype_SoftDist_0,G5_ResidualArchetype_Dist_0,G5_ResidualArchetype_Prob_1,G5_ResidualArchetype_SoftDist_1,G5_ResidualArchetype_Dist_1,G5_ResidualArchetype_Prob_2,G5_ResidualArchetype_SoftDist_2,G5_ResidualArchetype_Dist_2,G5_ResidualArchetype_Prob_3,G5_ResidualArchetype_SoftDist_3,G5_ResidualArchetype_Dist_3,G5_ResidualArchetype_Prob_4,G5_ResidualArchetype_SoftDist_4,G5_ResidualArchetype_Dist_4,G5_ResidualArchetype_Entropy,G5_ResidualArchetype_MaxProb,G5_ResidualArchetype_MinDist
2.7777670744223646,-0.21359411587573324,-0.7671962188819386,-0.6890236464881022,0.048734319357252205,0.1849813807357862,0.2242958573997346,2.445369706863621,0.8150186192642134,0.6143428647639384,1.4377824952423166,0.0,0.01718897276696536,5.01406761918777,3.3386002272194867e-104,0.08924550109105443,3.3669446677574757,0.0,0.05492680397830719,3.8523342170786306,0.4788635286555062,0.8150186192642134,1.4377824952423166
-1.1632129592577873,-0.23477512852119037,-0.4433907205148586,-0.9568246503768331,0.009237167493459226,0.0,0.14331369838598101,2.1452817023345037,9.679893167830865e-96,0.029188170635635377,3.736554112990574,0.1534370679039824,0.15209801875375778,2.0857924517301467,0.0034936599452064948,0.2693664753135832,1.5142448107759157,0.8430692721508113,0.40603363691104266,1.1038816192610175,0.4512924441861721,0.8430692721508113,1.1038816192610175
-0.9500038020147511,-0.07067224153927051,-0.008188238130684571,-0.4420416402774974,0.008789425915198452,0.0,0.12962725929615154,1.745314528938018,5.603055811439803e-57,0.025403229792319328,3.3751013016956968,0.0036609039163791484,0.10896131606465986,1.9189847040659138,0.0044871633949899415,0.2897251819461023,0.9410447995982019,0.9918519326886309,0.446283012900767,0.5090243159676363,0.052912621560784,0.9918519326886309,0.5090243159676363
-1.8405200801929074,1.6758233838511813,-0.01085073539740901,0.8325305716640928,0.03329000945657472,0.0,0.05955012511823335,3.4680190812433653,5.757407342603097e-144,0.024842149633141297,4.3422956856069606,0.9966852612497443,0.5851260298383315,1.1830102184543054,3.8033121297038447e-05,0.12158016683213894,2.7542636235841678,0.0032767056289586096,0.20890152857815475,2.212974492296409,0.022442064114742886,0.9966852612497443,1.1830102184543054
5.052460153923126,1.41091559962815,-0.728296899413096,-0.9593640823347243,0.03580399547942726,7.236351127245445e-11,0.11406025599086875,5.014710595034318,0.9999999999276366,0.7896844460492048,3.0798040348281375,0.0,0.016589291622458615,6.942680060890365,0.0,0.04834729219492043,5.873027249023446,0.0,0.03131871414254745,6.307221650307306,1.072102302559991e-09,0.9999999999276366,3.0798040348281375
0.7409769804952682,-0.5087854764676318,0.3377329473395526,0.013482324253315798,0.017643749538399152,0.9985418743269336,0.5071715638385367,0.35582161382242217,0.0014578530835520486,0.09639319170895871,2.0162353766899583,8.045519366008628e-189,0.024186753294505498,3.398865851618154,2.725895142838431e-07,0.24691767864101774,1.0756159541645685,0.0,0.1253308125169815,1.7537142087635325,0.01098176100037558,0.9985418743269336,0.35582161382242217
-3.348830147005514,3.3550897980616186,-1.0553798056731503,-1.1237507048492215,0.00516743061250807,0.0,0.030323384684028825,5.84156899942374,0.0,0.016847048516178548,6.429312706815438,0.999999968178432,0.7836488682292068,2.589527138157421,6.834042255307781e-33,0.058257852696790464,5.188609292421459,3.182156804010502e-08,0.11092284587379554,4.544653308613882,4.714527767700066e-07,0.999999968178432,2.589527138157421
-0.015899048547449994,0.017811316308747282,1.1816413296591217,-0.9856384384099507,0.03843478285090084,1.859338035932743e-186,0.2631457788579906,1.7788442515241845,2.438607827981438e-13,0.08439669162314793,2.9160242203187057,1.295155147949956e-08,0.08775824267457705,2.8769666308265536,0.9999999870482045,0.3287099061975104,1.556376804654574,4.3157239458172195e-32,0.23598938064677394,1.8877656156206861,1.918874607093514e-07,0.9999999870482045,1.556376804654574
-0.09781910830301126,-0.1845308299133102,1.0741673162131473,-0.1793443826299527,0.0016680371728526077,1.278573171574957e-49,0.25797113126877663,1.352932199742242,0.0006034967861714529,0.0597743362796168,2.81520347445847,0.1502780376276144,0.060016789529648,2.8111555355237745,0.13179589942583755,0.3839641786991698,0.9552306204972913,0.7173225661603764,0.23827356422278873,1.4323604410054949,0.7946910774416899,0.7173225661603764,0.9552306204972913
-0.3186842511560175,-1.0754471467063202,0.025707384560659952,0.045318101860892517,0.03955731903195696,2.5876792630947345e-34,0.2636925314450225,1.0994042439165321,0.00031354310971780375,0.033275806117463246,3.1693574248024503,0.005305431927300373,0.03483366049183605,3.1236038399066626,0.030780280381465693,0.40718159351975775,0.6649287530494146,0.9636007445815161,0.2610164084259204,1.109604741830564,0.17319592762351607,0.9636007445815161,0.6649287530494146
