main_model,gate_feature,quantile,direction,cutoff,gate_rate,specialist,train_acc,train_bacc,train_f1,train_auc,threshold
Elastic+LGBM Blend,TGAb,0.7,high,269.0,0.3018867924528302,LGBM,0.8188679245283019,0.7838630208033193,0.7108433734939759,0.8422318907393536,0.4249999999999998
Elastic+LGBM Blend,FT4_last_over_0M,0.7,high,0.6686527520962233,0.30062893081761005,RF,0.8138364779874214,0.7861176741773757,0.7120622568093385,0.8546504927101942,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_0M,0.65,high,0.609214510380817,0.34968553459119495,RF,0.8125786163522013,0.7841871722468737,0.7095516569200779,0.8551763383852936,0.4149999999999998
Elastic+LGBM Blend,TGAb,0.7,high,269.0,0.3018867924528302,Elastic,0.8125786163522013,0.7801965078084481,0.7049504950495049,0.8456750994064427,0.38999999999999985
Elastic+LGBM Blend,TGAb,0.65,high,209.0857717820113,0.34968553459119495,Elastic,0.8113207547169812,0.7692870108914885,0.691358024691358,0.845214084020054,0.4149999999999998
Elastic+LGBM Blend,TGAb,0.65,high,209.0857717820113,0.34968553459119495,ET,0.810062893081761,0.7843168328242955,0.7090558766859345,0.84849161528266,0.42999999999999977
Elastic+LGBM Blend,TGAb,0.7,high,269.0,0.3018867924528302,ET,0.8088050314465409,0.7833839970034,0.7076923076923077,0.8475623811444707,0.4249999999999998
Elastic+LGBM Blend,TGAb,0.65,high,209.0857717820113,0.34968553459119495,LGBM,0.8088050314465409,0.7773980003457615,0.7007874015748031,0.8475407710482338,0.4249999999999998
Elastic+LGBM Blend,TRAb_x_FT3_last,0.8,high,172.72381811641011,0.2,ET,0.8088050314465409,0.7764003342361552,0.6996047430830039,0.8542831210741658,0.4149999999999998
Elastic+LGBM Blend,TSH_mean,0.7,high,2.8397999999999985,0.30062893081761005,Elastic,0.8088050314465409,0.7754026681265487,0.6984126984126984,0.8529504984728865,0.4149999999999998
Elastic+LGBM Blend,TGAb,0.65,high,209.0857717820113,0.34968553459119495,RF,0.8088050314465409,0.7554493459344206,0.6724137931034483,0.8451564570967555,0.5549999999999998
Elastic+LGBM Blend,TSH_mean,0.9,high,19.757133333333343,0.10062893081761007,LGBM,0.8075471698113208,0.7774628306344724,0.700587084148728,0.8529865152999482,0.4149999999999998
Elastic+LGBM Blend,TRAb_x_FT3_last,0.9,high,277.9135822034911,0.10062893081761007,Elastic,0.8075471698113208,0.7754674984152596,0.6982248520710059,0.8495288999020343,0.4149999999999998
Elastic+LGBM Blend,TRAb_x_FT3_last,0.9,high,277.9135822034911,0.10062893081761007,RF,0.8075471698113208,0.7754674984152596,0.6982248520710059,0.8398115599608137,0.4149999999999998
Elastic+LGBM Blend,TSH_mean,0.85,high,13.551866666666665,0.1509433962264151,Elastic,0.8075471698113208,0.7744698323056531,0.697029702970297,0.8466511554198122,0.4149999999999998
Elastic+LGBM Blend,TSH_mean,0.9,high,19.757133333333343,0.10062893081761007,Elastic,0.8075471698113208,0.7744698323056531,0.697029702970297,0.8378270327897194,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_0M,0.9,high,1.2000826618546871,0.10062893081761007,ET,0.8075471698113208,0.7734721661960469,0.6958250497017893,0.8553276090589523,0.4149999999999998
Elastic+LGBM Blend,TSH_last_minus_prev,0.65,high,2.124555985567208,0.35471698113207545,Elastic,0.8075471698113208,0.7734721661960469,0.6958250497017893,0.8499611018267734,0.4149999999999998
Elastic+LGBM Blend,TSH_mean,0.75,high,5.325333333333333,0.25031446540880503,Elastic,0.8075471698113208,0.7734721661960469,0.6958250497017893,0.8484051748977122,0.4149999999999998
Elastic+LGBM Blend,TGAb,0.75,high,361.85477899744285,0.25031446540880503,Elastic,0.8075471698113208,0.7634955050999828,0.6832298136645962,0.841706045064254,0.4349999999999998
