feature,error_shift,error_mean,correct_mean
D_TSH_3M-0M,0.45314685445107244,-0.07528948659123214,16.062220941508855
TSH_3M,0.43945790433913506,4.747636552586057,16.106916729340366
TSH_last_over_0M_plus1,0.4370769230535831,5.690764662210252,16.81520589880905
TSH_last_minus_prev,0.41694694605798177,4.569609727071238,15.408691710107526
FT4_last_over_0M,0.2587985745006118,23.8984880442395,0.6184760293183275
FT4_last_over_TSH_last_plus1,0.22992683952025272,13.230215668156305,10.5392965792105
TSH_mean,0.20028466098128675,3.2495298057593884,5.616612512134908
TSH_0M,0.19877727873795334,4.82292603917729,0.04469578783151327
FT4_mean,0.191309350750445,22.95848024225859,21.479275440078844
TSH_std,0.19001518853422747,4.55794344591767,7.684678248245968
FT3_0M,0.17984616904274547,20.023961578599813,18.281591263650547
FT4_0M,0.1740362923350719,31.62158326587424,29.275101426294402
FT4_3M,0.1543427576044677,16.187355799995995,14.69301989586093
HalfLife,0.1500029179060402,5.189123384544346,5.435120903726294
D_FT3_3M-0M,0.14804743530035738,-13.20666717723156,-11.572279239848683
FT3_mean,0.1419350300974776,12.023991531248983,11.301339705068667
ThyroidW,0.13707147591833713,36.49071273574269,33.114754815806066
Uptake24h,0.12199142952957692,1.707955408660936,1.016199153027521
TSH_1M,0.11392101055144695,0.17802682551481935,0.6982250192328423
RAI3d,0.10529264383887424,3.401377345630427,3.135667889371412
TRAb,0.10194886060191075,19.154435637616036,17.844578833060037
TreatCount,0.09111402134622379,1.077922077922078,1.1060842433697349
Exophthalmos,0.08824753166809533,1.1441982192802431,1.1154446177847115
ThyroidW_x_FT3_last,0.08104330402246515,250.11614614412238,291.1321056125814
FT4_last_minus_prev,0.07708649865275922,-4.8791458609095475,-5.776685102220264
TGAb,0.07097479077616087,401.05316776286526,352.18403477534247
FT3_last_over_0M,0.06450635795533853,0.4769714276214916,0.5167086430190412
FT3_std,0.06361274225710715,6.6888928457446815,6.433855470955262
TPOAb,0.06182689797294277,519.5522821678095,494.73719557838126
TRAb_x_FT4_last,0.06062460489084756,292.97919895020107,273.1775901703957
FT4_1M,0.056802100073072036,21.06650166090554,20.469704998081195
Height,0.05513972529194802,1.64291373690347,1.6470452988207622
D_FT4_3M-0M,0.05360508434833761,-15.434227465878246,-14.582081530433474
Dose,0.05164129335070764,6.733766233766234,6.461776729276454
FT3_1M,0.0482832420277467,9.23071861377889,8.913115827753595
BMI,0.042059800749701205,22.79800432961376,22.662868819402213
MaxUptake,0.040386816107333655,0.7501711573762727,0.7453077484335809
Sex,0.028602975633793444,0.21428571428571427,0.22620904836193448
FT3_last_minus_prev,0.02854540244649509,-2.413424212410639,-2.2038038039517325
TRAb_x_FT3_last,0.020493912871379385,126.0119704130021,130.116424011644
FT4_std,0.018732770925222828,8.642679453862572,8.744720291654703
FT3_3M,0.01821094864678047,6.817294401368251,6.709312023801862
Age,0.01649111417027166,43.79220779220779,43.54446177847114
FT3_last_over_FT4_last,0.01421945908019035,0.4232494440634118,0.42500370304995055
Weight,0.0028867568543021506,61.736439520602595,61.70450978220525
ThyroidW_x_FT4_last,0.0005146920268972448,579.0970059194709,579.5208181261988
