Metric,Balanced RF,Elastic LR,Logistic Reg.,MLP,Random Forest,SVM
AUC,0.9376836858180142,0.9135235982250907,0.9150002881346165,0.9211519621967383,0.973556445571371,0.9309197256958452
Sensitivity,0.9227799227799228,0.8108108108108109,0.8262548262548263,0.7760617760617761,0.9382239382239382,0.7760617760617761
Specificity,0.8152985074626866,0.8507462686567164,0.8395522388059702,0.9011194029850746,0.8544776119402985,0.917910447761194
F1,0.8006700167504187,0.7650273224043715,0.7656529516994633,0.783625730994152,0.8379310344827586,0.7976190476190477
