Metric,Balanced RF,Elastic LR,Logistic Reg.,MLP,Random Forest,SVM
AUC,0.8937215467066214,0.8675589235290728,0.8670042643923241,0.8562280297354925,0.9413501988128854,0.8891113928427362
Sensitivity,0.7065637065637066,0.6988416988416989,0.7181467181467182,0.7760617760617761,0.9111969111969112,0.752895752895753
Specificity,0.8880597014925373,0.832089552238806,0.8246268656716418,0.7705223880597015,0.8041044776119403,0.8638059701492538
F1,0.7290836653386454,0.6830188679245283,0.6901669758812616,0.6895368782161235,0.7866666666666666,0.7400379506641366
Balanced Acc,0.7973117040281219,0.7654656255402524,0.7713867919091799,0.7732920820607387,0.8576506944044258,0.8083508615225034
