Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
3-Month,Validation_OOF,Validation OOF,Random Forest,auc,AUC,0.8500115253846597,0.4100000000000001,795,259
3-Month,Validation_OOF,Validation OOF,Random Forest,recall,Sensitivity,0.7992277992277992,0.4100000000000001,795,259
3-Month,Validation_OOF,Validation OOF,Random Forest,specificity,Specificity,0.7574626865671642,0.4100000000000001,795,259
3-Month,Validation_OOF,Validation OOF,Random Forest,f1,F1,0.6946308724832215,0.4100000000000001,795,259
3-Month,Validation_OOF,Validation OOF,Random Forest,bacc,Balanced Acc,0.7783452428974817,0.4100000000000001,795,259
3-Month,Test_Temporal,Temporal Test,Random Forest,auc,AUC,0.8490234375000001,0.4100000000000001,208,80
3-Month,Test_Temporal,Temporal Test,Random Forest,recall,Sensitivity,0.8125,0.4100000000000001,208,80
3-Month,Test_Temporal,Temporal Test,Random Forest,specificity,Specificity,0.75,0.4100000000000001,208,80
3-Month,Test_Temporal,Temporal Test,Random Forest,f1,F1,0.7344632768361582,0.4100000000000001,208,80
3-Month,Test_Temporal,Temporal Test,Random Forest,bacc,Balanced Acc,0.78125,0.4100000000000001,208,80
3-Month,Train_Fit,Train Fit,Balanced RF,auc,AUC,0.8937215467066214,0.5900000000000002,795,259
3-Month,Train_Fit,Train Fit,Balanced RF,recall,Sensitivity,0.7065637065637066,0.5900000000000002,795,259
3-Month,Train_Fit,Train Fit,Balanced RF,specificity,Specificity,0.8880597014925373,0.5900000000000002,795,259
3-Month,Train_Fit,Train Fit,Balanced RF,f1,F1,0.7290836653386454,0.5900000000000002,795,259
3-Month,Train_Fit,Train Fit,Balanced RF,bacc,Balanced Acc,0.7973117040281219,0.5900000000000002,795,259
3-Month,Validation_OOF,Validation OOF,Balanced RF,auc,AUC,0.8488301734570391,0.5900000000000002,795,259
3-Month,Validation_OOF,Validation OOF,Balanced RF,recall,Sensitivity,0.6640926640926641,0.5900000000000002,795,259
3-Month,Validation_OOF,Validation OOF,Balanced RF,specificity,Specificity,0.8768656716417911,0.5900000000000002,795,259
3-Month,Validation_OOF,Validation OOF,Balanced RF,f1,F1,0.6921529175050302,0.5900000000000002,795,259
3-Month,Validation_OOF,Validation OOF,Balanced RF,bacc,Balanced Acc,0.7704791678672276,0.5900000000000002,795,259
3-Month,Test_Temporal,Temporal Test,Balanced RF,auc,AUC,0.8448242187500001,0.5900000000000002,208,80
3-Month,Test_Temporal,Temporal Test,Balanced RF,recall,Sensitivity,0.6875,0.5900000000000002,208,80
3-Month,Test_Temporal,Temporal Test,Balanced RF,specificity,Specificity,0.8515625,0.5900000000000002,208,80
