Metric,Elastic LR,Logistic Reg.
PR-AUC,0.2294046067591606,0.21930468915204981
AUC,0.8125086362282481,0.7893865744650145
Sensitivity,0.727810650887574,0.5207100591715976
Specificity,0.7472755578619616,0.8588479501816295
F1,0.3157894736842105,0.332703213610586
