Metric,Elastic LR,Logistic Reg.
PR-AUC,0.22939239095667655,0.23222743090209844
AUC,0.8124963535925174,0.8006036915461688
Sensitivity,0.727810650887574,0.5680473372781065
Specificity,0.7477944992215879,0.8303061754021795
F1,0.3161953727506427,0.32432432432432434
