Metric,Elastic LR,Logistic Reg.
PR-AUC,0.22734869025688573,0.2228585417500484
AUC,0.8108228444741956,0.8059681327015964
Sensitivity,0.7159763313609467,0.5621301775147929
Specificity,0.7581733264141152,0.825116761805916
F1,0.3201058201058201,0.3161397670549085
