component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.2222838218108943,0.2222838218108943
PC2,0.16287037008614483,0.38515419189703914
PC3,0.09350254837686983,0.478656740273909
PC4,0.07692471822504586,0.5555814584989548
PC5,0.0683766755477524,0.6239581340467072
PC6,0.054948291104345806,0.678906425151053
