component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.4500461243939183,0.4500461243939183
PC2,0.27545749009086545,0.7255036144847837
PC3,0.10944881875612258,0.8349524332409063
PC4,0.08516266235989081,0.9201150956007971
