component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.49981767507238506,0.49981767507238506
PC2,0.2619505208588719,0.761768195931257
PC3,0.1303437878929612,0.8921119838242182
PC4,0.09207068609182323,0.9841826699160414
