Tag,Interval_Name,N,Events,AUC,PR_AUC,Brier,Recall,Specificity,Calibration_Intercept,Calibration_Slope
Direct_Anchor,1M->3M,68,17,0.5155709342560555,0.2570337976018656,0.205366392583407,0.5882352941176471,0.37254901960784315,-1.2038400346134495,-0.07174796997703849
Direct_Anchor,3M->6M,71,10,0.639344262295082,0.44022189879086426,0.11178735802895463,0.6,0.5901639344262295,-0.7099413948762437,0.7119547578044143
Direct_Anchor,6M->12M,110,8,0.8700980392156863,0.460180002763958,0.05302584144198647,0.75,0.8725490196078431,0.2992656288353937,1.4276534760644901
Direct_Anchor,12M->18M,128,2,0.7460317460317459,0.043498168498168496,0.018067751758682832,0.0,0.9682539682539683,-2.0484456535472497,0.6510480428013726
Direct_Anchor,18M->24M,137,4,0.9605263157894737,0.48942307692307696,0.022494080798223477,0.25,0.9924812030075187,2.0494844017884373,1.7223862586567995
c1_rule_any,1M->3M,68,17,0.5686274509803921,0.2861007227129833,0.2631069471174554,1.0,0.13725490196078433,-1.1136739194166805,0.3499599809536551
c1_rule_any,3M->6M,71,10,0.7065573770491803,0.392578145811737,0.1995874652367088,0.9,0.4098360655737705,-1.669317921788775,0.6762266803540702
c1_rule_any,6M->12M,110,8,0.8590686274509804,0.4247305443916697,0.0976110398659419,0.875,0.7058823529411765,-1.7075552485782302,1.2028923199639794
c1_rule_any,12M->18M,128,2,0.6190476190476191,0.036630036630036625,0.03640902856065158,0.0,0.9047619047619048,-3.476795228993627,0.18522724765450252
c1_rule_any,18M->24M,137,4,0.9398496240601504,0.41870300751879697,0.025381411426617956,0.25,0.9548872180451128,-0.5824804855604536,1.0432774344702263
c2_interval_intercept,1M->3M,68,17,0.5755478662053057,0.3025790921764276,0.2513208897917245,0.6470588235294118,0.4117647058823529,-1.0741404060109812,0.38254430157219116
c2_interval_intercept,3M->6M,71,10,0.6672131147540984,0.3197706940901276,0.20540548633239566,0.4,0.6557377049180327,-1.6905113267062022,0.4542669260606827
c2_interval_intercept,6M->12M,110,8,0.8970588235294117,0.5767898606811146,0.10129573962362129,0.75,0.7941176470588235,-1.923629836674504,1.7474381489166528
c2_interval_intercept,12M->18M,128,2,0.7142857142857142,0.0391337386018237,0.04379910949798309,0.0,0.9603174603174603,-3.0690264096738584,0.5753597899221712
c2_interval_intercept,18M->24M,137,4,0.8364661654135339,0.321693657219973,0.03225745585975278,0.25,0.9924812030075187,-0.9244399181671653,1.3917872296043439
c2_interval_slope,1M->3M,68,17,0.5213379469434833,0.2695236176470826,0.28250451326475756,0.5294117647058824,0.43137254901960786,-1.1151813666664838,0.11221010349658554
c2_interval_slope,3M->6M,71,10,0.7245901639344262,0.4278030758863207,0.1936163775294293,0.5,0.7049180327868853,-1.68883567245163,0.8412627271792443
c2_interval_slope,6M->12M,110,8,0.8517156862745099,0.399542297979798,0.10913871294540242,0.625,0.8725490196078431,-1.9184356133237428,1.2298713133783705
c2_interval_slope,12M->18M,128,2,0.6785714285714286,0.04595588235294118,0.04569462636076857,0.0,0.9682539682539683,-3.2816993899700178,0.4597172889233626
c2_interval_slope,18M->24M,137,4,0.9454887218045113,0.4292929292929293,0.03425651475213544,0.25,0.9849624060150376,-0.9780753659053508,1.6941935284642688
c2_early_late_intercept,1M->3M,68,17,0.5836216839677048,0.31423352933549165,0.26188155732559737,0.6470588235294118,0.45098039215686275,-1.115910636572807,0.34683287008663044
c2_early_late_intercept,3M->6M,71,10,0.6672131147540984,0.3329636350907401,0.20239224985366114,0.5,0.639344262295082,-1.672699989157761,0.5084303226112308
c2_early_late_intercept,6M->12M,110,8,0.8811274509803921,0.44002761631289855,0.09702064486391739,0.75,0.8725490196078431,-1.7969310608633164,1.4528361802897065
c2_early_late_intercept,12M->18M,128,2,0.6626984126984127,0.04080854309687262,0.03947006787041708,0.0,0.9682539682539683,-3.263288610272552,0.42768491024464567
c2_early_late_intercept,18M->24M,137,4,0.9041353383458646,0.264527027027027,0.03454394891269802,0.25,0.9849624060150376,-1.0495308454846246,1.420570764420116
c2_interval_intercept_calibrated,1M->3M,68,17,0.5905420991926182,0.3230322593174256,0.1857640561655216,1.0,0.11764705882352941,0.1042454244404026,0.9149759622499748
c2_interval_intercept_calibrated,3M->6M,71,10,0.7196721311475409,0.3761459800671825,0.11123629985808652,0.7,0.5737704918032787,0.06044421735488465,1.1505992813280472
c2_interval_intercept_calibrated,6M->12M,110,8,0.8627450980392157,0.49361141721765844,0.05812010401297111,0.75,0.8725490196078431,3.138682999921534,2.8369720500649733
c2_interval_intercept_calibrated,12M->18M,128,2,0.6468253968253967,0.0331143951833607,0.01631190202473436,0.0,1.0,-2.1851451834180566,0.6007418784495678
c2_interval_intercept_calibrated,18M->24M,137,4,0.8984962406015038,0.35684223184223185,0.02708015893103971,0.0,1.0,7.18618413778162,2.9838452664152144
c2_interval_intercept_reglow,1M->3M,68,17,0.6124567474048443,0.3492076285196689,0.23846136582942112,0.8235294117647058,0.43137254901960786,-1.0810927673038166,0.640083954852725
c2_interval_intercept_reglow,3M->6M,71,10,0.6524590163934426,0.36201117138688144,0.20712422931998156,0.6,0.6065573770491803,-1.7153161178498217,0.4556546343802167
c2_interval_intercept_reglow,6M->12M,110,8,0.8504901960784315,0.3287210338680927,0.09823130518993314,0.75,0.8235294117647058,-1.7302968454960475,1.2061393631611315
c2_interval_intercept_reglow,12M->18M,128,2,0.6507936507936508,0.03809523809523809,0.03277513312914196,0.0,0.9761904761904762,-3.2424324842513688,0.3770544097408145
c2_interval_intercept_reglow,18M->24M,137,4,0.9135338345864662,0.3754985754985755,0.027414029156776078,0.25,1.0,-0.052892729158692774,1.7347958865062891
c2_interval_intercept_reghigh,1M->3M,68,17,0.5513264129181085,0.30283629060952366,0.2651603417571391,0.8823529411764706,0.39215686274509803,-1.128121234372749,0.33274734196380457
c2_interval_intercept_reghigh,3M->6M,71,10,0.6901639344262296,0.36075702075702076,0.1989972859596206,0.6,0.6229508196721312,-1.7456803196637365,0.6422242890278795
c2_interval_intercept_reghigh,6M->12M,110,8,0.8774509803921569,0.4571661998132586,0.10964431260179965,0.875,0.8235294117647058,-1.9616843514930524,1.6425424004083429
c2_interval_intercept_reghigh,12M->18M,128,2,0.7182539682539683,0.04695562435500516,0.04674442074048894,0.0,0.9761904761904762,-2.9955042591203322,0.7040802235653351
c2_interval_intercept_reghigh,18M->24M,137,4,0.8665413533834586,0.33303571428571427,0.04030656642445411,0.25,0.9924812030075187,-1.0511812765042274,1.6456827097266935
