Scenario,Intervals,Events,AUC,PR_AUC,Brier,Recall,Specificity
All_Windows,514,41,0.843087712061053,0.3215752851413565,0.10798518059495757,0.4878048780487805,0.8604651162790697
Exclude_1M_3M,446,24,0.85989336492891,0.34757425957139115,0.0813768518470957,0.4583333333333333,0.9123222748815166
Exclude_12Mplus,249,35,0.751935914552737,0.34031134239026234,0.18057159891802116,0.5428571428571428,0.719626168224299
Only_3Mplus,446,24,0.85989336492891,0.34757425957139115,0.0813768518470957,0.4583333333333333,0.9123222748815166
