Aggregation,Threshold,AUC,PR_AUC,Brier,Recall,Specificity,Calibration_Intercept,Calibration_Slope
Product_AnyRisk,0.5200000000000001,0.7140921409214092,0.3821314297806727,0.3012504007592487,0.8333333333333334,0.45528455284552843,-1.6704266729999175,0.5897128997065476
Max_Interval_Risk,0.4000000000000001,0.7452574525745258,0.46781281258408175,0.20965096213043385,0.8611111111111112,0.4959349593495935,-1.2596627931310995,0.9870543465487758
Mean_Interval_Risk,0.29000000000000004,0.7883920505871725,0.6218859015767167,0.13720820896527244,0.6944444444444444,0.6829268292682927,-0.12737446639702912,1.3703745291093976
