Metric,Delta,CI_Low,CI_High,OneSided_p,Compare_To,Variant
PR_AUC,-0.0064606025010690085,-0.052778771617869334,0.03815757665879339,0.6006996501749126,Direct,c2_interval_slope
AUC,0.0016627805267948586,-0.022789875891554928,0.023093831808052582,0.4257871064467766,Direct,c2_interval_slope
