component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.4500102298397974,0.4500102298397974
PC2,0.275497422966623,0.7255076528064204
PC3,0.10942120158415215,0.8349288543905725
PC4,0.08517346406212879,0.9201023184527013
