component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.22230594874581922,0.22230594874581922
PC2,0.16286187848015865,0.38516782722597787
PC3,0.09348840773348643,0.4786562349594643
PC4,0.07693591664430928,0.5555921516037736
PC5,0.06837385166330813,0.6239660032670817
PC6,0.054947318547360124,0.6789133218144419
