,PC1,PC2,PC3,PC4
Residual_FT3,0.5230032406062409,-0.2341271986361266,0.1853658605343174,0.3881921177653143
Residual_FT4,0.5327065147346938,-0.3140671980568154,0.10144709324843477,0.18470067697579814
Residual_logTSH,-0.41861994175753403,0.3502304641462394,0.3025508339976811,0.5556208733929178
Residual_Norm,0.2742512518971573,0.49575622997444374,0.6801431126522077,-0.04723019459684842
Residual_UncertaintyNorm,0.2704366436165202,0.4958762526276829,-0.6211007792428835,0.4712616848963714
Residual_DeltaNorm,0.3451072245835735,0.4818893799088157,-0.12429861705896443,-0.5311870835653195
