component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.49978163459651903,0.49978163459651903
PC2,0.26198932138855624,0.7617709559850753
PC3,0.13031382652012238,0.8920847825051976
PC4,0.09209461200962528,0.984179394514823
