phase,epoch,train_loss,train_auc,train_prauc,train_acc,train_thr,val_auc,val_prauc,val_acc,val_f1,val_thr,val_landmark_auc,val_next_bacc,hazard_log_var,landmark_log_var,next_state_log_var,score
main,1,2.5001796960830687,0.7855998339559984,0.20558429370177042,0.8123608017817372,0.5699999999999998,0.8185528174540888,0.25089966127023217,0.7933333333333333,0.3404255319148936,0.5599999999999998,0.980593607305936,0.6124830917874395,-0.015094663947820663,0.011992388404905796,0.010164984501898289,0.25089966127023217
main,2,2.2919392506281535,0.8126733084267329,0.2330463019191415,0.7984409799554566,0.5649999999999998,0.8333071731282373,0.26670982011605326,0.8566666666666667,0.4266666666666667,0.5849999999999997,0.9828767123287672,0.6076693505099302,-0.03017193078994751,0.011440333910286427,0.003705280367285013,0.26670982011605326
main,3,1.8763782183329265,0.8226691573266917,0.2537368580934541,0.8524498886414253,0.6249999999999998,0.822162925757338,0.28855088020187314,0.8566666666666667,0.39436619718309857,0.6249999999999998,0.9788812785388128,0.5943360171765969,-0.044885311275720596,-0.0001247660693479702,-0.005626334343105555,0.28855088020187314
main,4,1.63104297320048,0.8303403902034038,0.25648511663969614,0.7867483296213809,0.5449999999999998,0.816198398995448,0.2793818742262234,0.8433333333333334,0.38961038961038963,0.5749999999999997,0.9777397260273972,0.5813505099302201,-0.06016206741333008,-0.019831303507089615,-0.01743903197348118,0.2793818742262234
main,5,1.5489742835362752,0.8360066417600664,0.2695456305490477,0.8101336302895323,0.5699999999999998,0.8196515460681212,0.2849016610070402,0.8333333333333334,0.375,0.5849999999999997,0.9743150684931506,0.5998432635534084,-0.07545214146375656,-0.04072510078549385,-0.028625071048736572,0.2849016610070402
main,6,1.446079921722412,0.8410460772104607,0.27861402532771246,0.8307349665924276,0.5799999999999997,0.8215350808350337,0.3002076867023441,0.83,0.35443037974683544,0.5849999999999997,0.9800228310502284,0.5768309178743961,-0.09062012284994125,-0.06041286885738373,-0.039799414575099945,0.3002076867023441
main,7,1.445728596051534,0.8453258613532586,0.2833830445665952,0.8374164810690423,0.5849999999999997,0.8191806623763931,0.29434644644540403,0.8633333333333333,0.3492063492063492,0.6049999999999998,0.9771689497716896,0.6221621041331186,-0.10581175982952118,-0.07970327883958817,-0.05313229560852051,0.29434644644540403
main,8,1.3378023306528728,0.8489663760896636,0.2892619187655659,0.8457683741648107,0.5849999999999997,0.8096060273112541,0.29630071409134645,0.8133333333333334,0.3333333333333333,0.5699999999999998,0.9737442922374429,0.5953236714975846,-0.12075487524271011,-0.09810181707143784,-0.06369614601135254,0.29630071409134645
main,9,1.3007201910018922,0.851307596513076,0.2927435463071606,0.839086859688196,0.5849999999999997,0.8155705540731439,0.2853347364155188,0.8166666666666667,0.3373493975903614,0.5799999999999997,0.970890410958904,0.6216425120772947,-0.1356905996799469,-0.11608050018548965,-0.07508961111307144,0.2853347364155188
main,10,1.247941243648529,0.8540224159402242,0.2998776794641437,0.839086859688196,0.5799999999999997,0.802699733165908,0.2767323641137199,0.9,0.3181818181818182,0.6499999999999997,0.9748858447488584,0.5813505099302201,-0.15088804066181183,-0.13381677865982056,-0.08809097111225128,0.2767323641137199
main,11,1.2306698083877563,0.8552262349522624,0.2919833452134007,0.8602449888641426,0.5999999999999998,0.8086642599277978,0.3111191958724257,0.7766666666666666,0.32323232323232326,0.5349999999999998,0.9828767123287672,0.5974707461084273,-0.16599227488040924,-0.15138933062553406,-0.097927987575531,0.3111191958724257
main,12,1.2903603553771972,0.8564591116645912,0.30263671042037754,0.8418708240534521,0.5999999999999998,0.7954795165594098,0.27876622422392955,0.7766666666666666,0.32323232323232326,0.5649999999999998,0.9800228310502282,0.5854707461084273,-0.18028736114501953,-0.16886498034000397,-0.10828956961631775,0.27876622422392955
main,13,1.1737222830454508,0.8587712743877128,0.3042176733923921,0.8697104677060133,0.6199999999999998,0.8012870820907236,0.2966048450432708,0.8033333333333333,0.3218390804597701,0.5799999999999997,0.978310502283105,0.5934707461084273,-0.19434428215026855,-0.18532142043113708,-0.11698273569345474,0.2966048450432708
main,14,1.046466772754987,0.858999584889996,0.3154520281130495,0.8652561247216035,0.6149999999999998,0.7954795165594098,0.2734098037140952,0.9233333333333333,0.34285714285714286,0.6849999999999997,0.9794520547945206,0.5754975845410627,-0.208492711186409,-0.2022365927696228,-0.12448357790708542,0.2734098037140952
