Model,Feature_Mode,C_Index,NextWindow_AUC,NextWindow_PR_AUC,NextWindow_Brier,NextWindow_Recall,NextWindow_Specificity,Calibration_Intercept,Calibration_Slope,Threshold,Mean_Horizon_Brier
AG Cox [history_augmented],history_augmented,0.7789790854306984,0.7326254826254825,0.36015623230545546,0.10264668107655656,0.5357142857142857,0.8162162162162162,0.29456842679799705,1.029044865716742,0.12999999999999998,0.1031230701372351
Event-Specific RSF [markov_lite],markov_lite,0.7906770648706133,0.7928571428571429,0.3473250815529221,0.10208829062229674,0.25,0.9297297297297298,1.1241412239637367,1.5731837471627974,0.22999999999999995,0.09915574518014844
AG Cox [markov_lite],markov_lite,0.782169443459766,0.7287644787644787,0.34218426984059647,0.10330704651068123,0.5,0.7837837837837838,0.4693411048963122,1.115319442683771,0.12999999999999998,0.10172697395666745
Event-Specific RSF [history_augmented],history_augmented,0.7811059907834101,0.8015444015444015,0.33898345020176446,0.10127407433473876,0.35714285714285715,0.918918918918919,1.1160244222404536,1.6001059907652853,0.21999999999999995,0.09961253873627252
PWP Gap Cox [markov_lite],markov_lite,0.7800425381070543,0.5171814671814672,0.12771426691375778,0.1339207545892631,0.9642857142857143,0.10810810810810811,-1.8204779465061494,0.02939967320970272,0.02,0.12233913132056634
PWP Gap Cox [history_augmented],history_augmented,0.7752570010634526,0.5036679536679536,0.12471189227051278,0.13864866725610206,0.8214285714285714,0.3783783783783784,-1.8825606640316463,0.002334942049451527,0.06,0.12655491334713784
