Scenario,Intervals,Events,AUC,PR_AUC,Brier,Recall,Specificity
All_Windows,514,41,0.841386067137627,0.333887622324112,0.06388086939550144,0.6829268292682927,0.7801268498942917
Exclude_1M_3M,446,24,0.8636453396524486,0.3894519933225912,0.04249431810474661,0.5833333333333334,0.8507109004739336
Exclude_12Mplus,249,35,0.7389853137516689,0.35064498577333314,0.1105376019599389,0.7428571428571429,0.5700934579439252
Only_3Mplus,446,24,0.8636453396524486,0.3894519933225912,0.04249431810474661,0.5833333333333334,0.8507109004739336
