Level,Metric,Value,CI_95
Patient,AUC,0.7411924119241192,"[0.650, 0.825]"
Patient,PR_AUC,0.42643673559713896,"[0.306, 0.598]"
Patient,Brier,0.15520056760897508,"[0.124, 0.184]"
Patient,Recall,0.6666666666666666,"[0.500, 0.826]"
Patient,Specificity,0.6422764227642277,"[0.561, 0.726]"
Patient,Calibration_Intercept,0.036099617797667946,"[-0.566, 0.762]"
Patient,Calibration_Slope,1.1897970643893985,"[0.724, 1.884]"
Patient,Threshold,0.26000000000000006,
