Metric,Balanced RF,Elastic LR,LightGBM,Logistic Reg.
PR-AUC,0.3049982998055003,0.4255847125204525,1.0,0.4254069314057018
AUC,0.8409644325575825,0.8830846611374334,1.0,0.8830508838891737
Sensitivity,0.757396449704142,0.4911242603550296,1.0,0.5502958579881657
Specificity,0.7706279190451479,0.926829268292683,0.9678256357031655,0.9159314997405293
F1,0.34641407307171856,0.4223918575063613,0.845,0.4386792452830189
