Metric,Balanced RF,Elastic LR,LightGBM,Logistic Reg.
PR-AUC,0.35117972864766983,0.37003059134107597,1.0,0.36998034450733314
AUC,0.8583842806827918,0.8549697079496289,1.0,0.8548560935691191
Sensitivity,0.8106508875739645,0.5976331360946746,1.0,0.5976331360946746
Specificity,0.7462376751427089,0.856772184743124,0.820965230928905,0.8578100674623768
F1,0.34465408805031444,0.36996336996337,0.49487554904831627,0.3713235294117647
