Metric,Elastic LR,Logistic Reg.
PR-AUC,0.23133125932837545,0.2310583784903382
AUC,0.8114369762607359,0.8130245069289419
Sensitivity,0.5443786982248521,0.7928994082840237
Specificity,0.839647119875454,0.6984950700570836
F1,0.32280701754385965,0.3031674208144796
