Metric,Balanced RF,Elastic LR,LightGBM,Logistic Reg.
PR-AUC,0.35840754741077985,0.3727301235268336,1.0,0.37276399197323334
AUC,0.8645655171143176,0.853922613253578,1.0,0.8539011186410492
Sensitivity,0.7988165680473372,0.3905325443786982,1.0,0.3905325443786982
Specificity,0.7669953295277634,0.9460300985988583,0.9507005708354956,0.9460300985988583
F1,0.35856573705179284,0.3893805309734513,0.7806004618937644,0.3893805309734513
