Group,Model,CV_PR_AUC,AUC,PR_AUC,C_Index,Brier,Recall,Specificity,F1,Calibration_Intercept,Calibration_Slope,Threshold,Best_Params
direct,Logistic Reg.,0.25368580480640657,0.8415407621306656,0.33050692574763696,0.7240340304856434,0.06445334818835408,0.5609756097560976,0.8414376321353065,0.33093525179856115,-0.12023435104410858,1.0277517463793855,0.14999999999999997,"{'lr__solver': 'saga', 'lr__penalty': 'l1', 'lr__C': 0.1}"
direct,Elastic LR,0.25054100923053674,0.8413345021399475,0.32901464781474815,0.7227933356965615,0.06476462487828309,0.5609756097560976,0.8393234672304439,0.32857142857142857,-0.19080856340518623,0.9886355985822534,0.14999999999999997,"{'lr__l1_ratio': 0.7, 'lr__C': 0.1}"
direct,LightGBM,0.20802043510132182,0.8407157221677926,0.2663493918534673,0.7678128323289614,0.078606900534118,0.6097560975609756,0.8477801268498943,0.36231884057971014,-1.0433219662815965,0.511045763346245,0.19999999999999996,"{'reg_lambda': 1.0, 'reg_alpha': 0.5, 'num_leaves': 31, 'min_child_samples': 40}"
direct,Balanced RF,0.25771768288672187,0.8288557727014902,0.22952978205126898,0.7417582417582418,0.1809005110931682,0.7073170731707317,0.7991543340380549,0.3515151515151515,-2.5248059320059117,1.5303389525050979,0.58,"{'sampling_strategy': 'not minority', 'n_estimators': 500, 'min_samples_leaf': 10, 'max_depth': 2}"
predicted_only_compact,Logistic Reg.,0.2225122732198442,0.8272056927757439,0.25552473136892445,0.7522155264090747,0.06502378267948716,0.6829268292682927,0.773784355179704,0.3181818181818182,0.3534918818727831,1.2968383621345394,0.13999999999999999,"{'lr__solver': 'saga', 'lr__penalty': 'l1', 'lr__C': 0.1}"
predicted_only_compact,Elastic LR,0.22787341549178305,0.8194709431238076,0.26780702955097624,0.7187167671038639,0.0678346084846851,0.8048780487804879,0.7040169133192389,0.308411214953271,3.338922183952236,2.632307946595623,0.09999999999999999,"{'lr__l1_ratio': 0.7, 'lr__C': 0.01}"
predicted_only_compact,LightGBM,0.2095334102134263,0.7765173000567216,0.19817767003659126,0.6758241758241759,0.11175494464632259,0.7560975609756098,0.6659619450317125,0.26956521739130435,-1.6200248400062787,0.4401660789498952,0.11999999999999998,"{'reg_lambda': 0.5, 'reg_alpha': 0.5, 'num_leaves': 15, 'min_child_samples': 10}"
predicted_only_compact,Balanced RF,0.240854344436323,0.7931727943072242,0.20486484635097021,0.6859269762495569,0.17941784283856382,0.5853658536585366,0.7758985200845666,0.2807017543859649,-2.2964017263940013,0.9504080611008601,0.59,"{'sampling_strategy': 'all', 'n_estimators': 200, 'min_samples_leaf': 1, 'max_depth': 5}"
direct_plus_state_only,Logistic Reg.,0.30720826804416296,0.8247821378848038,0.30085858617836914,0.6760014179369018,0.06729321197559714,0.2682926829268293,0.9260042283298098,0.25287356321839083,-0.49337252672508314,0.7871752370258741,0.23999999999999996,"{'lr__solver': 'saga', 'lr__penalty': 'l2', 'lr__C': 5}"
direct_plus_state_only,Elastic LR,0.3067940052499624,0.8247305728871243,0.30086522113362657,0.6761786600496278,0.06728341675501277,0.2682926829268293,0.9260042283298098,0.25287356321839083,-0.4920284665336265,0.788175013690242,0.23999999999999996,"{'lr__l1_ratio': 0.3, 'lr__C': 5}"
