Metric,Balanced RF,Elastic LR,LightGBM,Logistic Reg.
PR-AUC,0.284307468332132,0.31122060362121834,1.0,0.30226529891230547
AUC,0.8410626936434291,0.8465284665436356,1.0,0.8416798960889017
Sensitivity,0.7337278106508875,0.6390532544378699,1.0,0.6153846153846154
Specificity,0.7799688635184224,0.8370524130773223,0.9553710430721328,0.8412039439543332
F1,0.3458856345885635,0.36548223350253806,0.7971698113207547,0.3592400690846287
