Metric,Balanced RF,Elastic LR,LightGBM,Logistic Reg.
PR-AUC,0.3135386853418775,0.3765204059554552,1.0,0.37580344813429784
AUC,0.841676825429969,0.8557680792721309,1.0,0.855768079272131
Sensitivity,0.7514792899408284,0.5562130177514792,1.0,0.5562130177514792
Specificity,0.7701089776855216,0.8920601971977167,0.7259989621172808,0.8920601971977167
F1,0.34370771312584575,0.3991507430997877,0.3903002309468822,0.3991507430997877
