Metric,Balanced RF,Elastic LR,LightGBM,Logistic Reg.
PR-AUC,0.483073974163157,0.22809124786587387,0.9922275578764645,0.23532284981263646
AUC,0.8996969259633425,0.7901941577643147,0.9993398083294694,0.7945022922468934
Sensitivity,0.8284023668639053,0.6686390532544378,1.0,0.5739644970414202
Specificity,0.8043591074208615,0.7540217955371044,0.6927867151011936,0.8235599377270368
F1,0.40816326530612246,0.29894179894179895,0.3634408602150538,0.3201320132013201
