Split,Model,Metric,Value
Train_OOF,binary_rule_aux_w0_35,Mean_MaxProb,0.7920046572291554
Train_OOF,binary_rule_aux_w0_35,Mean_P_Hyper,0.34394433366594374
Test,binary_rule_aux_w0_35,AUC,0.8267931727943072
Test,binary_rule_aux_w0_35,Hyper_PR_AUC,0.31285772835776926
Test,binary_rule_aux_w0_35,LogLoss,0.6031708973248641
Test,binary_rule_aux_w0_35,Mean_MaxProb,0.7815432952232954
Test,binary_rule_aux_w0_35,Mean_P_Hyper,0.3881899792987819
Train_OOF,binary_rule_aux_w0_5,AUC,0.7958073222932909
Train_OOF,binary_rule_aux_w0_5,Hyper_PR_AUC,0.211547616358881
Train_OOF,binary_rule_aux_w0_5,LogLoss,0.5576512023646963
Train_OOF,binary_rule_aux_w0_5,Mean_MaxProb,0.776057003870845
Train_OOF,binary_rule_aux_w0_5,Mean_P_Hyper,0.36094802448213326
Test,binary_rule_aux_w0_5,AUC,0.8262259578198319
Test,binary_rule_aux_w0_5,Hyper_PR_AUC,0.309403288626049
Test,binary_rule_aux_w0_5,LogLoss,0.6172702709130978
Test,binary_rule_aux_w0_5,Mean_MaxProb,0.7631293488519026
Test,binary_rule_aux_w0_5,Mean_P_Hyper,0.40629127013731536
Train_OOF,binary_threshold_twin_aux,AUC,0.7895308954348513
Train_OOF,binary_threshold_twin_aux,Hyper_PR_AUC,0.21056471233558754
Train_OOF,binary_threshold_twin_aux,LogLoss,0.5370445978665567
Train_OOF,binary_threshold_twin_aux,Mean_MaxProb,0.7939817971271845
Train_OOF,binary_threshold_twin_aux,Mean_P_Hyper,0.33629020337445564
Test,binary_threshold_twin_aux,AUC,0.827308822771103
Test,binary_threshold_twin_aux,Hyper_PR_AUC,0.32033276415712464
Test,binary_threshold_twin_aux,LogLoss,0.5937353587716623
Test,binary_threshold_twin_aux,Mean_MaxProb,0.7848610710408935
Test,binary_threshold_twin_aux,Mean_P_Hyper,0.3819299818844728
