Scenario,Intervals,Events,AUC,PR_AUC,Brier,Recall,Specificity
All_Windows,514,41,0.8488114268034858,0.3474193377478844,0.06293787293550851,0.7073170731707317,0.8160676532769556
Exclude_1M_3M,446,24,0.8566350710900473,0.3871250951768947,0.04364134908855509,0.5416666666666666,0.8981042654028436
Exclude_12Mplus,249,35,0.7611481975967958,0.3705285878145808,0.10778817122561357,0.8,0.616822429906542
Only_3Mplus,446,24,0.8566350710900473,0.3871250951768947,0.04364134908855509,0.5416666666666666,0.8981042654028436
