Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
Stage2 direct,Train_Fit,Train Fit,Balanced RF,prauc,PR-AUC,0.284307468332132,0.58,2096,169
Stage2 direct,Train_Fit,Train Fit,Balanced RF,auc,AUC,0.8410626936434291,0.58,2096,169
Stage2 direct,Train_Fit,Train Fit,Balanced RF,recall,Sensitivity,0.7337278106508875,0.58,2096,169
Stage2 direct,Train_Fit,Train Fit,Balanced RF,specificity,Specificity,0.7799688635184224,0.58,2096,169
Stage2 direct,Train_Fit,Train Fit,Balanced RF,f1,F1,0.3458856345885635,0.58,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Balanced RF,prauc,PR-AUC,0.21620779353859482,0.58,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Balanced RF,auc,AUC,0.8090572155878929,0.58,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Balanced RF,recall,Sensitivity,0.6923076923076923,0.58,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Balanced RF,specificity,Specificity,0.7758173326414115,0.58,2096,169
Stage2 direct,Validation_OOF,Validation OOF,Balanced RF,f1,F1,0.32590529247910865,0.58,2096,169
Stage2 direct,Test_Temporal,Temporal Test,Balanced RF,prauc,PR-AUC,0.22952978205126898,0.58,514,41
Stage2 direct,Test_Temporal,Temporal Test,Balanced RF,auc,AUC,0.8288557727014902,0.58,514,41
Stage2 direct,Test_Temporal,Temporal Test,Balanced RF,recall,Sensitivity,0.7073170731707317,0.58,514,41
Stage2 direct,Test_Temporal,Temporal Test,Balanced RF,specificity,Specificity,0.7991543340380549,0.58,514,41
Stage2 direct,Test_Temporal,Temporal Test,Balanced RF,f1,F1,0.3515151515151515,0.58,514,41
Stage2 current_binary_stage1_reference,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.22828427855599015,0.14999999999999997,2096,169
Stage2 current_binary_stage1_reference,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8126867344463449,0.14999999999999997,2096,169
Stage2 current_binary_stage1_reference,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.5621301775147929,0.14999999999999997,2096,169
Stage2 current_binary_stage1_reference,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8406850025947068,0.14999999999999997,2096,169
Stage2 current_binary_stage1_reference,Train_Fit,Train Fit,Elastic LR,f1,F1,0.3327495621716287,0.14999999999999997,2096,169
Stage2 current_binary_stage1_reference,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.22079510776330297,0.14999999999999997,2096,169
Stage2 current_binary_stage1_reference,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7996671405716953,0.14999999999999997,2096,169
Stage2 current_binary_stage1_reference,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.5266272189349113,0.14999999999999997,2096,169
Stage2 current_binary_stage1_reference,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8541774779449922,0.14999999999999997,2096,169
Stage2 current_binary_stage1_reference,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.3302411873840445,0.14999999999999997,2096,169
Stage2 current_binary_stage1_reference,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.3501424998328119,0.14999999999999997,514,41
Stage2 current_binary_stage1_reference,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8509255917083485,0.14999999999999997,514,41
Stage2 current_binary_stage1_reference,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.6829268292682927,0.14999999999999997,514,41
Stage2 current_binary_stage1_reference,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8224101479915433,0.14999999999999997,514,41
Stage2 current_binary_stage1_reference,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.3660130718954248,0.14999999999999997,514,41
Stage2 binary_interval_intercept,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.22450999530789545,0.12999999999999998,2096,169
Stage2 binary_interval_intercept,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8131166266969229,0.12999999999999998,2096,169
Stage2 binary_interval_intercept,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.6449704142011834,0.12999999999999998,2096,169
Stage2 binary_interval_intercept,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8002075765438506,0.12999999999999998,2096,169
Stage2 binary_interval_intercept,Train_Fit,Train Fit,Elastic LR,f1,F1,0.3288084464555053,0.12999999999999998,2096,169
Stage2 binary_interval_intercept,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.21774262148789433,0.12999999999999998,2096,169
Stage2 binary_interval_intercept,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7994583357642718,0.12999999999999998,2096,169
Stage2 binary_interval_intercept,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.6153846153846154,0.12999999999999998,2096,169
Stage2 binary_interval_intercept,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8131811105345096,0.12999999999999998,2096,169
Stage2 binary_interval_intercept,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.3285939968404423,0.12999999999999998,2096,169
Stage2 binary_interval_intercept,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.3308500665958818,0.12999999999999998,514,41
Stage2 binary_interval_intercept,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8481926468313309,0.12999999999999998,514,41
Stage2 binary_interval_intercept,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.7073170731707317,0.12999999999999998,514,41
Stage2 binary_interval_intercept,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8012684989429175,0.12999999999999998,514,41
Stage2 binary_interval_intercept,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.35365853658536583,0.12999999999999998,514,41
Stage2 binary_interval_slope,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.28560044354050046,0.15999999999999998,2096,169
Stage2 binary_interval_slope,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.827616278177134,0.15999999999999998,2096,169
Stage2 binary_interval_slope,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.6272189349112426,0.15999999999999998,2096,169
Stage2 binary_interval_slope,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8287493513233005,0.15999999999999998,2096,169
Stage2 binary_interval_slope,Train_Fit,Train Fit,Elastic LR,f1,F1,0.3504132231404959,0.15999999999999998,2096,169
Stage2 binary_interval_slope,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.2344227252541325,0.15999999999999998,2096,169
Stage2 binary_interval_slope,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7943088407341331,0.15999999999999998,2096,169
