Split,Model,Target,MAE,RMSE,R2
Train_OOF,Ridge,FT3_Next,1.0937217735665423,2.2914122714557497,0.015210280121068731
Train_OOF,Ridge,FT4_Next,2.2792188842607533,3.8977462868577497,-0.03482858633593833
Train_OOF,Ridge,logTSH_Next,0.76656029705023,1.0402316001325025,-0.0015554365648964286
Train_OOF,Ridge,Average,1.3798336516258418,2.4097967194820007,-0.007057914259922009
Train_OOF,ElasticNet,FT3_Next,1.0758634373384335,2.2781027965359475,0.026617191648788285
Train_OOF,ElasticNet,FT4_Next,2.257452058678504,3.8816401187527987,-0.026294071148987186
Train_OOF,ElasticNet,logTSH_Next,0.7554345133168281,1.0256638782695962,0.026300315839554722
Train_OOF,ElasticNet,Average,1.362916669777922,2.395135597852781,0.008874478779785274
Train_OOF,RandomForest,FT3_Next,0.9847162498132188,2.1961511571835213,0.09538977103778179
Train_OOF,RandomForest,FT4_Next,2.139179559902924,3.791939017651699,0.02059126506835718
Train_OOF,RandomForest,logTSH_Next,0.7428934028659212,1.0254558233508446,0.026695303839200712
Train_OOF,RandomForest,Average,1.2889297375273545,2.3378486660620212,0.047558779981779896
Train_OOF,ExtraTrees,FT3_Next,0.9860382918181951,2.1969825101605744,0.09470476103854453
Train_OOF,ExtraTrees,FT4_Next,2.191468382560132,3.838350654472986,-0.003530506201136152
Train_OOF,ExtraTrees,logTSH_Next,0.7441001814696101,1.0183397492170188,0.04015678430381031
Train_OOF,ExtraTrees,Average,1.3072022852826457,2.35122430461686,0.0437770130470729
Train_OOF,RandomForest_ByWindow,FT3_Next,0.9986265294581417,2.2056230564043617,0.08756985900382497
Train_OOF,RandomForest_ByWindow,FT4_Next,2.203304196836256,3.8540543280512196,-0.011758703258367253
Train_OOF,RandomForest_ByWindow,logTSH_Next,0.7632606350541464,1.046029631798838,-0.012751469780465596
Train_OOF,RandomForest_ByWindow,Average,1.321730453782848,2.3685690054181396,0.02101989532166404
Train_OOF,ExtraTrees_ByWindow,FT3_Next,0.9990412146630326,2.216828899330401,0.07827495965372122
Train_OOF,ExtraTrees_ByWindow,FT4_Next,2.2414158296428037,3.8958374514714804,-0.033815265511603965
Train_OOF,ExtraTrees_ByWindow,logTSH_Next,0.7600020970018793,1.0369786086789385,0.0046988572262379735
Train_OOF,ExtraTrees_ByWindow,Average,1.3334863804359054,2.3832149864936065,0.016386183789451742
Train_OOF,EnsembleMean,FT3_Next,0.9881367861733418,2.1977946908162154,0.0940352980970608
Train_OOF,EnsembleMean,FT4_Next,2.141159635563553,3.793831790633957,0.01961326354898929
Train_OOF,EnsembleMean,logTSH_Next,0.7382626155527275,1.0096819552983964,0.05640833287531366
Train_OOF,EnsembleMean,Average,1.2891863457632076,2.3337694789161896,0.05668563150712125
Test,EnsembleMean,FT3_Next,1.1393321614814158,2.836405083496176,0.10436138016621732
Test,EnsembleMean,FT4_Next,2.3174279947813767,4.297200533226441,0.0761040304831454
Test,EnsembleMean,logTSH_Next,0.7343599181074523,1.016870189169901,0.034738132125984644
Test,EnsembleMean,Average,1.3970400247900816,2.71682526863084,0.07173451425844912
