method,k,silhouette,calinski_harabasz,min_cluster_ratio,bic(gmm_only)
kmeans,5,0.4738044093273588,344.6091577356384,0.002857142857142857,
kmeans,4,0.47182467949448736,344.53459391118736,0.004285714285714286,
kmeans,3,0.46343871356818195,359.85086860550837,0.11714285714285715,
gmm,3,0.11167144893785592,66.96428120495476,0.10714285714285714,-28499.666106644232
gmm,5,0.08928515692681838,73.92125597069203,0.04285714285714286,-31690.01419386438
gmm,4,0.05310053056881736,60.76305057826912,0.045714285714285714,-26958.921947460673
