method,k,silhouette,calinski_harabasz,min_cluster_ratio,bic(gmm_only)
kmeans,5,0.1847739041641072,102.12162355628486,0.06428571428571428,
kmeans,4,0.17960411488212957,107.95574487911051,0.10428571428571429,
kmeans,3,0.17228447960874282,115.86207154396749,0.2814285714285714,
gmm,3,0.10441858338102414,68.78905393553315,0.17857142857142858,-54180.10127837741
gmm,4,0.07024052218559083,43.942184357398496,0.09857142857142857,-59503.21064257142
gmm,5,-0.0008788108877516082,31.827400111867597,0.041428571428571426,-56989.47053159085
