Subtype,Count,Fail_Rate(Y=1),Normal_Rate(Y=2),Cure_Rate(Y=3)
0,361,58.7%,3.3%,38.0%
1,251,18.3%,31.5%,50.2%
2,92,38.0%,19.6%,42.4%
3,299,15.4%,43.8%,40.8%
