Group,Model,AUC,PR_AUC,Brier,Recall,Specificity,Calibration_Intercept,Calibration_Slope,Threshold
direct,Logistic Reg.,0.8214304130356315,0.31877063905127756,0.06763439615698687,0.6585365853658537,0.7970401691331924,-0.637932691156169,0.7554326260463258,0.12999999999999998
direct,Elastic LR,0.8224101479915433,0.3230767783732526,0.06719781036522196,0.6585365853658537,0.8202959830866807,-0.6011930912901476,0.7710316566337928,0.13999999999999999
predicted_only,Logistic Reg.,0.8471613468777394,0.2932842758312159,0.06547935901249254,0.7804878048780488,0.7970401691331924,-0.16654867385453828,0.9890855689506904,0.10999999999999999
predicted_only,Elastic LR,0.8470066518847007,0.29324050352524844,0.0654714932253418,0.7804878048780488,0.7970401691331924,-0.16634867765592318,0.9883883585279027,0.10999999999999999
predicted_plus_current,Logistic Reg.,0.8316402825761873,0.3130758067160225,0.06880343878133043,0.6829268292682927,0.7928118393234672,-0.7066715992762385,0.7404150200004334,0.13999999999999999
predicted_plus_current,Elastic LR,0.8318465425669055,0.31474333335812216,0.06834803941539926,0.6585365853658537,0.7949260042283298,-0.6731450696162404,0.7549375785171029,0.13999999999999999
