Split,Model,Target,MAE,RMSE,R2
Train_OOF,Ridge,FT3_Next,1.0856960157787678,2.275385655986649,0.028937754740097854
Train_OOF,Ridge,FT4_Next,2.25815301698371,3.8726784762152437,-0.021560678395580846
Train_OOF,Ridge,logTSH_Next,0.7697758713110525,1.0425023353172036,-0.0059328260476660954
Train_OOF,Ridge,Average,1.3712083013578436,2.396855489173032,0.000481416765616971
Train_OOF,ElasticNet,FT3_Next,1.0650920032632962,2.262478435426406,0.03992329078197043
Train_OOF,ElasticNet,FT4_Next,2.2419759175417093,3.8587829302599563,-0.014242912841704092
Train_OOF,ElasticNet,logTSH_Next,0.7578007021648835,1.0261244094138493,0.025425721908652443
Train_OOF,ElasticNet,Average,1.3549562076566295,2.382461925033404,0.017035366616306263
Train_OOF,RandomForest,FT3_Next,0.9649978098932843,2.184065262165932,0.10531890621987339
Train_OOF,RandomForest,FT4_Next,2.146472354694537,3.7637380699728427,0.0351049728907642
Train_OOF,RandomForest,logTSH_Next,0.7360488950678948,1.005523587304571,0.06416467890710664
Train_OOF,RandomForest,Average,1.282506353218572,2.3177756398144482,0.06819618600591475
Test,RandomForest,FT3_Next,1.119338523471385,2.845505978596491,0.09860466367078236
Test,RandomForest,FT4_Next,2.3511971503068922,4.326285387546555,0.0635552482694991
Test,RandomForest,logTSH_Next,0.7189773971799542,1.0131358230536622,0.04181479222967022
Test,RandomForest,Average,1.3965043569860773,2.7283090630655695,0.06799156805665056
