epoch,train_loss,fit_threshold,val_auc,val_prauc,val_f1,val_landmark_auc,val_next_hyper_auc
1,1.8886362234751384,0.22499999999999992,0.7093078009731597,0.3050248665760002,0.25225225225225223,0.9250345556549312,0.7515303719981166
2,1.577013341585795,0.09999999999999998,0.7359912101710877,0.26505878268590727,0.2553191489361702,0.9511342385559802,0.8110186783864386
3,1.5494609991709392,0.09499999999999997,0.7709935645895464,0.31538491438318944,0.32608695652173914,0.9553622245711033,0.8205933134515775
4,1.2606176137924194,0.13999999999999996,0.7961073614817139,0.2848392151463194,0.3291139240506329,0.9625985852508334,0.8215350808350337
5,1.0950193603833516,0.12999999999999995,0.779155548579501,0.2791677672907697,0.30303030303030304,0.96308642979104,0.825773034060587
6,1.0567029158274333,0.13999999999999996,0.7882592999529117,0.280728653123101,0.30303030303030304,0.9669078786893243,0.8249882279077068
7,1.0879406849543254,0.17499999999999993,0.7913985245644326,0.24363192724076363,0.3103448275862069,0.9675583380762665,0.815570554073144
8,0.9848013202349345,0.08999999999999998,0.7785277036571967,0.2339484111574374,0.3047619047619048,0.9715424018212863,0.805838957777429
9,1.0234994769096375,0.10499999999999998,0.7986187411709307,0.251763604015072,0.32653061224489793,0.9718676315147573,0.8264008789828913
10,0.89247265458107,0.13499999999999995,0.8102338722335584,0.2562457111988766,0.30985915492957744,0.9708919424343443,0.8300109872861404
11,0.8927977005640666,0.12499999999999996,0.809135143619526,0.25636609459473636,0.2972972972972973,0.9708106350109765,0.8325223669753571
12,0.8878271341323852,0.13499999999999995,0.8099199497724062,0.25623519632147046,0.32432432432432434,0.9737377022522157,0.8315805995919008
13,0.9061451991399129,0.10999999999999997,0.7983048187097787,0.24434492917446926,0.3010752688172043,0.9732498577120091,0.8295401035944122
14,0.9231993476549785,0.10999999999999997,0.8011301208601476,0.2395473051753849,0.30612244897959184,0.9747133913326287,0.8278135300580756
15,0.9198664665222168,0.13499999999999995,0.7929681368701931,0.23337167184015403,0.30985915492957744,0.9726807057484348,0.8245173442159786
