epoch,train_loss,fit_threshold,val_auc,val_prauc,val_f1,val_landmark_auc,val_next_hyper_auc
1,1.9931532859802246,0.4249999999999998,0.8135300580756553,0.2752236174936923,0.35789473684210527,0.9454427189202375,0.7320671794066866
2,1.7574896097183228,0.32499999999999984,0.8322084445142051,0.2734149355079758,0.3191489361702128,0.9634116594845109,0.799403547323811
3,1.501274617513021,0.23999999999999988,0.8383299325066708,0.30115154042914455,0.3516483516483517,0.9582892918123425,0.8176110500706325
4,1.2523474017779033,0.19499999999999995,0.8512007534139068,0.30719768825011695,0.3950617283950617,0.9647938856817627,0.8140009417673835
5,1.0902790983517965,0.15499999999999997,0.8588918537121331,0.3050337332572986,0.36363636363636365,0.9683714123099438,0.8165123214566001
6,1.0305610259373983,0.13499999999999995,0.8590488149427091,0.3024756472355922,0.3877551020408163,0.9724367834783315,0.818866739915241
7,1.0153152306874593,0.12999999999999995,0.8474336838800817,0.2764649108339878,0.34285714285714286,0.9760956175298805,0.8133730968450792
8,0.9516325155893962,0.12999999999999995,0.8524564432585151,0.2847529774604322,0.35514018691588783,0.976258232376616,0.8114895620781667
9,1.03087184826533,0.16499999999999992,0.855124784178308,0.296449121980371,0.3235294117647059,0.9747133913326287,0.8172971276094805
10,0.9321806708971659,0.15499999999999997,0.8408413121958876,0.26320921840270267,0.3,0.9748760061793642,0.8129022131533511
11,0.970974846680959,0.15499999999999997,0.8488463349552661,0.27787374461768644,0.3142857142857143,0.9751199284494675,0.8171401663789044
12,0.9384493430455526,0.15999999999999995,0.84868937372469,0.28420981448248905,0.3188405797101449,0.9747133913326287,0.8201224297598494
13,0.8694293200969696,0.15999999999999995,0.8463349552660492,0.3135824971251398,0.3188405797101449,0.9741442393690545,0.8199654685292732
14,0.8523978153864543,0.16499999999999992,0.8334641343588133,0.2937721966643918,0.31746031746031744,0.9753638507195708,0.8144718254591117
15,0.9578032056490581,0.15999999999999995,0.842097002040496,0.32517109614798967,0.3188405797101449,0.9750386210260997,0.8168262439177523
16,0.8497254053751627,0.15999999999999995,0.8403704285041594,0.3063189603436376,0.3235294117647059,0.9752825432962029,0.8127452519227751
17,0.8480463981628418,0.15999999999999995,0.8370742426620624,0.2999383845567349,0.3283582089552239,0.9738190096755834,0.8107047559252865
18,0.8430557052294413,0.16499999999999992,0.838957777428975,0.324060356819259,0.30985915492957744,0.9738190096755834,0.8121174070004709
19,0.8600326935450237,0.15499999999999997,0.8447653429602888,0.3383523675870157,0.34210526315789475,0.9747946987559964,0.8194945848375451
20,0.8031672040621439,0.14499999999999996,0.8380160100455187,0.32130320907964655,0.3291139240506329,0.971623709244654,0.8171401663789044
21,0.8245116790135701,0.15499999999999997,0.8364463977397583,0.3192890933503458,0.3055555555555556,0.9740629319456866,0.8172971276094805
22,0.8555381218592326,0.14999999999999997,0.8427248469628003,0.32958295783645375,0.3116883116883117,0.9740629319456866,0.8202793909904253
23,0.7982864022254944,0.15499999999999997,0.8449223041908649,0.3323314893912357,0.3142857142857143,0.9742255467924221,0.8119604457698949
24,0.9263603250185649,0.13999999999999996,0.8344059017422696,0.313178623600829,0.3181818181818182,0.9741442393690545,0.8132161356145032
25,0.8292373577753703,0.13499999999999995,0.8348767854339978,0.31243154055679595,0.35555555555555557,0.9732498577120091,0.8205933134515775
26,0.7927007714907328,0.13499999999999995,0.8397425835818553,0.3200717381823851,0.3076923076923077,0.9733311651353769,0.8182388949929367
27,0.8613540331522623,0.14499999999999996,0.8384868937372469,0.3210932142163224,0.3116883116883117,0.9705667127408732,0.8146287866896876
28,0.840466570854187,0.13499999999999995,0.8442944592685607,0.32570469150840475,0.37209302325581395,0.9707293275876088,0.8185528174540888
29,0.8082155068715413,0.12999999999999995,0.8373881651232146,0.30264990458210017,0.3409090909090909,0.9730872428652736,0.8177680113012086
30,0.7713177800178528,0.12999999999999995,0.8402134672735835,0.30573561660635384,0.3595505617977528,0.9729246280185382,0.8183958562235127
31,0.7761184573173523,0.12999999999999995,0.8350337466645739,0.3124064882410628,0.35555555555555557,0.9730872428652736,0.8133730968450793
