epoch,train_loss,fit_threshold,val_auc,val_prauc,val_f1,val_landmark_auc,val_next_hyper_auc
1,2.079988384246826,0.5249999999999998,0.8342489405116935,0.2767157856083588,0.33962264150943394,0.949508090088625,0.750274682153508
2,1.7029447635014852,0.37499999999999983,0.8444514204991367,0.2970717723022525,0.4,0.9616228961704203,0.8072516088526134
3,1.42305641969045,0.22999999999999993,0.8614032334013499,0.32906366169159723,0.3333333333333333,0.9624359704040979,0.8268717626746194
4,1.1864499926567078,0.15999999999999995,0.8606184272484696,0.34402110697009275,0.3448275862068966,0.9641434262948207,0.8323654057447811
5,1.070536736647288,0.13499999999999995,0.854967822947732,0.3622562873588814,0.32967032967032966,0.965363037645337,0.8350337466645739
6,1.0233374953269958,0.12999999999999995,0.8544969392560038,0.34552083537966605,0.3488372093023256,0.9673144158061632,0.8344059017422698
7,0.9944069385528564,0.14499999999999996,0.848375451263538,0.3589063314578377,0.32,0.9690218716968859,0.8315805995919008
8,0.9579845110575358,0.17999999999999994,0.8565374352534925,0.3643190766455836,0.37735849056603776,0.969672331083828,0.8318945220530529
9,1.0006468852361043,0.16999999999999993,0.8408413121958875,0.31899113755539754,0.3333333333333333,0.9706480201642409,0.8311097159001726
10,0.9551112612088521,0.14999999999999997,0.8430387694239523,0.3244889878855749,0.38235294117647056,0.9701601756240343,0.8245173442159787
11,0.9406091809272766,0.15999999999999995,0.8351907078951499,0.3104820276328283,0.3384615384615385,0.9696723310838279,0.8194945848375451
12,0.8992068966229757,0.12999999999999995,0.8312666771307486,0.3042760881747325,0.32941176470588235,0.971298479551183,0.8176110500706326
13,0.9119563380877177,0.13999999999999996,0.8293831423638361,0.3005990612126361,0.34210526315789475,0.9694284088137246,0.8119604457698948
14,0.9414826472600301,0.13999999999999996,0.8257730340605871,0.2939070200341532,0.33766233766233766,0.9711358647044475,0.8064668026997331
15,0.8787982106208801,0.13999999999999996,0.8218490032961858,0.2915632873371863,0.3116883116883117,0.9686966420034149,0.805681996546853
16,1.141070290406545,0.13999999999999996,0.8213781196044576,0.29155256700904947,0.3157894736842105,0.9677209529230019,0.8105477946947104
17,0.8639701724052429,0.14999999999999997,0.8187097786846649,0.2897267394705042,0.3013698630136986,0.9692657939669892,0.8052111128551248
18,0.8739737868309021,0.13999999999999996,0.8150996703814157,0.28894127486781973,0.325,0.9652004227986015,0.8030136556270602
19,0.8353965918223063,0.14999999999999997,0.8088212211583738,0.2855548134794093,0.2608695652173913,0.965037807951866,0.8014440433212997
20,0.9164075414339702,0.16499999999999992,0.8100769110029823,0.2859197524129335,0.26666666666666666,0.96633872672575,0.799403547323811
