epoch,train_loss,fit_threshold,val_auc,val_prauc,val_f1,val_landmark_auc,val_next_hyper_auc
1,1.9588162740071615,0.31499999999999984,0.7757024015068279,0.16274736199796166,0.26666666666666666,0.95186600536629,0.7968921676345943
2,1.6158340136210123,0.13499999999999995,0.7935959817924972,0.2406615591223166,0.33766233766233766,0.9569883730384585,0.8403704285041594
3,1.4210685253143311,0.14499999999999996,0.8242034217548265,0.2972051725370929,0.3333333333333333,0.9565818359216196,0.8502589860304506
4,1.2038969198862712,0.14499999999999996,0.802542771935332,0.26251385911878394,0.2571428571428571,0.9602406699731686,0.8526134044890913
5,1.1301250259081523,0.12999999999999995,0.7811960445769894,0.26021390537548134,0.2571428571428571,0.9614602813236849,0.8513577146444828
6,1.0217700759569803,0.14499999999999996,0.7609480458326793,0.23660563188502576,0.19718309859154928,0.9673144158061631,0.838643854967823
7,0.9735855281352996,0.13999999999999996,0.7670695338251452,0.24008619231895464,0.2682926829268293,0.9713797869745507,0.8378590488149427
8,1.0557684302330017,0.12999999999999995,0.7574948987600063,0.24670420146779695,0.2857142857142857,0.9718676315147573,0.8296970648249882
9,0.9565253337224324,0.12999999999999995,0.7523151781509967,0.23823189766906733,0.2891566265060241,0.9727620131718027,0.8193376236069692
10,0.9037176529566447,0.12999999999999995,0.7515303719981165,0.24666967754034802,0.30952380952380953,0.9737377022522156,0.8196515460681211
11,0.880380924542745,0.13999999999999996,0.7607910846021033,0.2528921628995371,0.28205128205128205,0.972599398325067,0.8194945848375452
12,0.855837536851565,0.15999999999999995,0.7618898132161357,0.2485574512847422,0.2857142857142857,0.972599398325067,0.81572751530372
13,0.8876138647397359,0.16499999999999992,0.7706796421283942,0.2508476325152268,0.2702702702702703,0.9734937799821124,0.8220059645267619
14,0.8613190293312073,0.13999999999999996,0.7725631768953068,0.26230315588117,0.2318840579710145,0.972274168631596,0.8141579029979595
15,0.8269120325644811,0.16499999999999992,0.7735049442787632,0.255814426043215,0.2647058823529412,0.973249857712009,0.8166692826871762
