Split,Gate_Mode,Temperature,Side_Cap,Global_Floor,Gate_Static_Mean,Gate_Static_Std,Gate_Static_Min,Gate_Static_Max,Gate_Static_CapHitRatio,Gate_Local_Mean,Gate_Local_Std,Gate_Local_Min,Gate_Local_Max,Gate_Local_CapHitRatio,Gate_Global_Mean,Gate_Global_Std,Gate_Global_Min,Gate_Global_Max,Gate_Global_CapHitRatio
Fit,softmax_free,1.3,,,0.4398168921470642,0.038407955318689346,0.3221823573112488,0.5344045162200928,,0.34711185097694397,0.044038522988557816,0.23881132900714874,0.4621231257915497,,0.21307125687599182,0.033232107758522034,0.10365575551986694,0.3034032881259918,
Validation,softmax_free,1.3,,,0.44657760858535767,0.03732002153992653,0.3420800268650055,0.5384485721588135,,0.33843380212783813,0.041713081300258636,0.2434607595205307,0.4481534957885742,,0.2149885594844818,0.03400956839323044,0.11376848816871643,0.28925538063049316,
TemporalTest,softmax_free,1.3,,,0.4421747624874115,0.0388195738196373,0.3052867352962494,0.5240354537963867,,0.34126728773117065,0.043973181396722794,0.24347029626369476,0.5051034688949585,,0.21655794978141785,0.03173423185944557,0.11109134554862976,0.294328898191452,
