Split,Gate_Mode,Temperature,Side_Cap,Global_Floor,Gate_Static_Mean,Gate_Static_Std,Gate_Static_Min,Gate_Static_Max,Gate_Static_CapHitRatio,Gate_Local_Mean,Gate_Local_Std,Gate_Local_Min,Gate_Local_Max,Gate_Local_CapHitRatio,Gate_Global_Mean,Gate_Global_Std,Gate_Global_Min,Gate_Global_Max,Gate_Global_CapHitRatio
Fit,softmax_free,1.0,,,0.4717314839363098,0.0644528940320015,0.3296094834804535,0.6889356374740601,,0.4317452311515808,0.0810350775718689,0.2718699276447296,0.6074268817901611,,0.09652326256036758,0.04705511033535004,0.016212929040193558,0.21924427151679993,
Validation,softmax_free,1.0,,,0.47733306884765625,0.06609440594911575,0.32269617915153503,0.6627659201622009,,0.4324176013469696,0.07822472602128983,0.29355600476264954,0.6140696406364441,,0.09024930000305176,0.04532730579376221,0.028776010498404503,0.21111515164375305,
TemporalTest,softmax_free,1.0,,,0.47154074907302856,0.06413383036851883,0.34509795904159546,0.6614741086959839,,0.43393591046333313,0.08060655742883682,0.286945104598999,0.6019880175590515,,0.09452331811189651,0.04735837131738663,0.00610309699550271,0.22389434278011322,
